,0
0,"Carnival Australia is part of the Carnival Corporation, the worlds' leading cruise holiday company, representing iconic brands including P&O Cruises, Princess Cruises, Cunard, Carnival Cruise Lines, Holland America Line and Seabourn. It's an exciting time to join the local team, with the resumption of cruising just around the corner!

The Opportunity:
Reporting to the Data and Integration Development Manager, this new position based out of our Chatswood office will implement and maintain robust integrations to support data quality and automation in the Marketing eco-system for campaign execution and analytics.

Key Responsibilities will include but are not limited to:

Responsible for contributing to the development and management of information architecture, contributing to all phases of project delivery including initiating, planning, execution and closure
Interpreting business requirements from a technical point of view to deliver the required solution
assisting with the development of solution alternatives and evaluation of proposed options to support the development of the business cases
Development and implementation of approved solutions and integration into existing architecture
Contributing to second and third level support of solutions including regular rostered 24/7 support.
Out of office support roster rotation
About You:
Aside from your IT, systems and data experience, you will be self-motivated and driven with exceptional stakeholder management skills with the ability to create and maintain effective relationships. A ‘roll your sleeves up and get the job done' work ethic with the ability to be fluid, agile and always seeking ways to improve the system, business and team. Working with a close knit team, your customer focused outlook and extensive development skills will ensure your success in delivering solutions to drive overall business efficiencies.

To be successful in the role, you will have:

Demonstrated 5-10 years' experience in IT including database design and development
Experience integrating and modelling Marketing and Digital platforms to a Data Warehousing implementation
Experience in SQL and stored procedures, performance tuning, monitoring and design
Exposure to Snowflake and SnowSQL - desired
Strong understanding of project management and experience in all phases of the Software Development Lifecycle
Experience in python or a similar programmatic language and its usage in ET - desired
Ability to provide out of office hours support when required
Some of the amazing benefits we offer at Carnival Australia:

Offering a hybrid work model. 2 days WFH and 3 days in the Office
Incredible Family & friends discount on travel and on-board product launches
Reward & Recognition – attractive incentive schemes, recognition programs and rewards
A proud inclusive and diverse workplace who celebrate both professional and personal wins
Plenty of parking options or we are across the road from Chatswood train station
Delicious restaurants and cafes to choose from or eat in our amazing lunchroom
At Carnival Australia we pride ourselves on promoting an inclusive and flexible workplace culture where individual differences are valued. We are committed to working with people's strengths and encourage applicants to approach us for any necessary adjustments.
As part of our recruitment process and commitment to safety, suitable candidates will be required to undertake Background Checks which may include a Police Check, skills assessment/ testing and reference checks as part of your application process."
1,"About us:
We’re known for being the country’s most popular rewards program, making the everyday worth more for millions of Aussies.
All the things that make working at Flybuys different as usual – these aren't just values we talk about. They’re built into everything we do, every day.
Be part of a company that's always questioned the norm. A business that's well-established, but still expanding. With one eye on the horizon.
And together we can make every day* different as usual.*
The opportunity:
We've already built a pretty amazing team, but we're not looking for more of the same. Our day-to-day is made stronger when we surround ourselves with people who are different, like you.
We work really hard to build teams that support each other. It’s the kind of environment you’ll miss while you’re on holidays.
What you'll be doing:
Capability Development:
Develop key customer insights and recommendations to drive member engagement with Flybuys rewards investment analytics strategy and marketing investment.
Build out bespoke dashboards to provide analysis on the reward store performance.
Work with multiple large data sets, to conduct analysis for our internal teams and partners.
Promote the use of analytics by translating complex mathematical techniques into useful and commercial concepts, with a focus on promoting the value of the flybuys program.
Analytics Strategy and Planning:
Participate in the development of the vision for rewards & redemption data / analytics architecture.
Proactively investigate opportunities in order to create measurable change and deliver measurable value in the rewards space .
Responsible for implementing commercial partner analytical strategy .
Understand market context, competitor capability and customer trends to support CRM / analytics strategies .
Apply analytics best practices and/or standards.
Thought Leadership & Innovation
Socialise analytics trends and best practices .
Source, develop and apply new and existing analytical methods and techniques.
Use of a variety of sources to keep abreast of industry practices.
Ensure key stakeholders are updated, ensuring the commercial impact has been explored / communicated.
Mentor and develop other members of the team to further their understanding and use of analytical techniques.
Stakeholder Management
Cultivate relationships across internal teams and with the partners, at all levels as required.
Clearly articulate the customer opportunity, commercial benefit, analytical findings.
Explain complex analysis to non-technical audience .
Tell and sell the story to stakeholders, visualise and report data findings creatively in a variety of visual formats that provides insights.
To be successful you will have:
Tertiary Qualified in Business, Mathematics or Science discipline.
Analytics professional with a proven track record.
Amazing storytelling skills and the ability to influence and navigate internal and external organisations to build and leverage relationships.
A background in retail would be advantageous.
Experience in clearly articulating commercial benefits of analytics.
Naturally collaborative with a strong emphasis on building and leveraging relationships both internally and externally.
Experience of large, complex data sets
Naturally curious, able to positively challenge existing practices.
Commercially savvy.
Experience of analytical tools – data extraction, data exploration and analysis, data visualisation.
Experience of working within large, complex, cross functional projects
Technical skills including SQL and Power BI/Tableau experience
Experience with Snowflake, Python or R would be advantageous.
We value ways of working that work for everyone, and use our different strengths to make us stronger. We work hard to make sure everyone’s voice is heard and respected equally, regardless of identity, background, position, ability or lifestyle.
So whether you’re an earlybird list maker, a night owl coder, a brainstorm chaser or a PowerPoint proof-reader, we want you to Be You, With Us.
To ensure the safety and wellbeing of our employees and the community in which we operate, Flybuys (Loyalty Pacific) has introduced a Vaccination Policy which requires all persons entering a Flybuys (Loyalty Pacific) workplace, attending a Flybuys (Loyalty Pacific) work-related event, or entering other premises to undertake work on Flybuys (Loyalty Pacific)’s behalf to be fully vaccinated against COVID-19 or to hold a valid exemption (and to provide evidence of the same).
It is also a condition of employment that successful applicants provide evidence of compliance with Flybuys (Loyalty Pacific) Vaccination Policy and to undergo a National Police Check.
Video
Job Type: Full-time"
2,"Cutting - edge, market leading product
Permanent opportunity with market competitive salary
South Wharf modern office location with a subsidised onsite GYM
Do you have passion for technology and delivering solutions to end users?
DCA is offering a rewarding career opportunity for an enthusiastic professional to join our Support Services team as Application Support Analyst. Based in our South Wharf office, this role is to act as the first point of contact for all application support needs, incidents and requests and provide excellent customer service to all DCA Cities customers. Critical to the success of this role is a demonstrated consultative, customer-centric approach, a clear ability to build strong relationships with DCA Clients and business stakeholders at all levels and explain complex technology terms in a way which suits the intended audience.
Recent graduates with some experience within a software support environment supplying end-user software products to the Australian market are encouraged to apply.
The Role
This role provides an excellent opportunity for the successful applicant to join a team of technology experts in a growing organisation.
Applicants must be an Australian Citizen, Permanent Resident or hold a valid work permit or visa. Work eligibility will be checked as part of the recruitment process.

If you are successful in this role, you will enjoy:

A supportive and friendly team environment;
Stability to develop a your career in a growth focused company; and
A range of benefits as part of our Employee Benefit Program.
A competitive remuneration package is on offer and will be based on the successful candidate's experience, skills and knowledge.

Key responsibilities include:

Provide telephone and email-based technical support (Level 1 and 2) for software and hardware products (mobile bluetooth printers) and engaging assistance from 3rd parties where required.
Action responses and rectification of support incidents within agreed SLAs ensuring customer requests are appropriately prioritised.
Logging all support requests, calls and emails accurately in the designated service desk system (Salesforce) and ensuring cases are updated accurately and promptly to reflect current status.
Escalating cases to the Development team for technically complex cases or requests, whilst maintaining communication with the customer as to the status.
Ensuring maximum availability of production applications by conducting system health checks, providing timely and effective support and necessary remedial action.
The Company
Database Consultants Australia or DCA is an innovative technology provider with a specialist focus on, on-street parking management and infringement processing solutions incorporating:


Infringement issuing technologies, management and processing
Smart mobility sensor technology
Mobile way finding and payment applications
Digital permit technology
Specialist parking officers and intelligent patrol planning methodology
Smart mobility data analytics
What's Next?
To apply, please submit a cover letter and an up-to-date version of your resume to our quoting reference number DCA/1606181DEF by the closing date 1 June 2022.
DCA is an Equal Employment Opportunity employer committed to supporting a working environment of mutual respect, teamwork and trust and a workplace that attracts, develops and retains highly skilled people.
The purpose of this role is to act as the first point of contact for all application support needs, incidents and requests and provide excellent customer service to all DCA Cities customers.
Critical to the success of this role is a demonstrated consultative, customer-centric approach, a clear ability to build strong relationships with DCA Clients and business stakeholders at all levels and explain complex technology terms in a way which suits the intended audience."
3,"12 months plus 12 month option
All States + WFH (hybrid)
Aus Citizens only with ability to obtain a Baseline Security Clearance



The Opportunity:
Our Fed Gov Client is looking for experienced and curious Data Analysts to work in their new Data and Analytics Office (DAO).
Responsibilities include:
Working in multi-disciplinary teams to deliver data and analytics projects using Agile approaches
Working with business to understand data requirements and issues
Organising data into usable formats
Assessing data quality and cleaning data.
Delivering robust, user-focused data insights using Power BI, and other BI tools
You will join the Analytics Growth section and engage with business experts to deliver data and analytics solutions that improve decision making across the department’s diverse and interesting portfolio, which includes environment, resource management, biosecurity, trade, and other interesting fields.
Desirable experience:
Azure solutions for data analytics
Azure DevOps for managing work activities
Power BI experience
Statistical analysis skills
Eligibility:
Applicants must be Australian Citizens who are eligible to obtain a Baseline Security clearance.
Apply Now!
For further information please call our client manager Iain Cameron 0262010100 or one of our Consultants on 0262010100/ 0386139999"
4,"Requisition ID
9588
Country
Australia
State/Province
Victoria
City
Melbourne
About Us
Korn Ferry is a global organizational consulting firm. We help clients synchronize strategy and talent to drive superior performance. We work with organizations to design their structures, roles, and responsibilities. We help them hire the right people to bring their strategy to life. And we advise them on how to reward, develop, and motivate their people.
Our 10,000 colleagues serve clients in more than 50 countries. We offer five core solutions:
Organizational Strategy
Assessment and Succession
Talent Acquisition
Leadership Development
Total Rewards
Job description
About the role:
The Reporting and Analytics function sits within our Centre of Excellence and is an extension of our operational team. We strive to provide an exceptional level of service to both our clients and the delivery teams.
We are currently seeking an experienced, professional, and consultative Reporting Analyst to join our team in Melbourne.
This role will see you supporting the business with various reporting functions and insightful information to identify and deliver key analytics to our stakeholders.
About You
You will be naturally curious about data and be a true problem solver. You will have high attention to detail and be able to present your data to key stakeholders and the wider reporting team. You need to be comfortable with asking the right questions to gather the right information and your logical and analytical mindset will provide actionable and meaningful solutions to the problems you strive to solve.
To be successful in this position you will have:
Solid experience within a reporting function
Intermediate experience with Excel; working knowledge of pivot tables, IF statements, and macros
Power BI or Tableau experience
Be able to work in a fast paced, client driven environment
Next Steps:
At Korn Ferry we are passionate about what we do, the value we bring to our clients and the careers we provide our people. We pride ourselves on high quality execution, encourage a culture of ongoing career development and recognise performance and commitment.
Eager to develop your career? Take the first step into your future and apply now!


Korn Ferry is an Equal Employment Opportunity/Affirmative Action Employer - Minority/Female/Disability/ Veteran. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, or veteran status or any other characteristic protected by federal, state, or local law.

If you currently work for Korn Ferry or one of our affiliates, you must be eligible to apply for a different position within Korn Ferry to use the Careers Site. If you accept such a position, your benefits programs and Human Resources policies may change. Please consult with your HR contact for the new position concerning application eligibility, including any immigration/visa needs, benefit programs, and HR policies applicable to that position."
5,"We’ve made it our business to understand how people want to work today, tomorrow and beyond and as you’d expect, we practise what we preach in our own workplace as well.
Investa is one of Australia's largest and most well-known commercial real estate companies, committed to helping workplaces to thrive. We manage and develop office buildings in Australia's major business districts. Buildings designed for the way people work today - and the way we want to work in the future.
We currently have an opportunity for a talented and capable Research Analyst to join our Investment Management / Research team at Investa, reporting to the Head of Research & Strategy.
Your key purpose will be to create a market leading research function for Investa’s Build to Rent (BTR) business (‘Indi’) that facilitates the identification of market opportunities and site acquisitions and supports decision making required to deliver a successful BTR strategy. You will utilise research and evidence-based analytics to influence and support Indi stakeholders with thought leadership and innovative solutions to market challenges.
*
Your major accountabilities will include: *
Creating and leading a robust and credible, value-add BTR research function that adds value to Indi’s BTR strategy.
Working seamlessly with the broader BTR team to ensure Indi becomes Australia’s preeminent BTR brand, platform and portfolio of assets.
Actively challenging current BTR market and Indi’s strategy to influence the Investa leadership team and business decision making process.
Key responsibilities:
Work with the broader BTR team to pro-actively identify market opportunities.
Ensure that a robust, consistent and data-focussed framework and process is established for evaluating potential BTR acquisitions; working closely with the Indi Fund team, Site Originations, Developments and Operations.
Pro-actively utilise data sets to identify market trends that could lead to well-informed BTR site acquisitions.
Source, collate, manage, and drive efficiencies in research data management and analytics.
Learn, adopt and leverage best practice data management practices to deliver quantitative improvements to the analytics and modelling functions.
Contribute to the development of modelling tools and formulas to assist with forecasting and presentation of data-driven insights.
Analyse data and identify leading indicators to validate relationships, assess future trends and provide market insights.
Utilise big data tools and techniques for the purpose of analysing, providing insight and validating market insights.
Engage with key stakeholders to identify priority information gaps and research-driven analytic needs.
Provide qualitative reviews and summaries of relevant research and data to assist with informing internal market views, as appropriate.
Assist in the preparation of Research papers, reports and presentations to internal and external stakeholders.
Ensure all processes are documented, validated & accessible and contribute to process improvement.
Support with preparing market-overviews and research inputs for Investment Committee papers; related to new acquisitions or the broader Indi strategy.
Do you have what it takes to be successful in this role?
Education & Experience
Tertiary qualifications in Business, Commerce, Property Economics or similar is essential.
Demonstrated work experience in a property research, analyst or equivalent role.
Experience in and understanding of complex database management.
Experience and demonstrated competency in analytical writing.
Skills
Team player and self-starter with high initiative and attention to detail.
High level of Excel proficiency, including competency in using complex formulas.
Curiosity and perception. Passion for empirical research and for exploring solutions with data.
Analytical thinking and strong problem-solving skills.
Proven interpersonal and stakeholder engagement skills.
Ability to quickly visualise and clearly outline issues, concepts and solutions.
Knowledge
Residential real estate (essential)
Build to Rent (preferred – but not essential)
Knowledge of residential property markets (development and funds management).
Knowledge of economic/financial markets.
Why join Investa?
Recognised as:
AFR Boss Best Places to Work (Property, Construction, Transport sector) – First Place – 2021
Australian HR Awards – Excellence Award: Best Workplace Flexibility Program
HRD - Employer of Choice 2021
WGEA Employer of Choice 2020 for Gender Equality 2019-21
Australian Business Awards - Employer of Choice 2020
Flexible work options available to all employees
Unique company culture and friendly work environment
Finalists in the 2020 Property Council of Australia/Rider Levett Bucknall Innovation & Excellence Awards for Diversity (< 250 employees) reflecting our commitment to diversity and inclusion
Investment in employee wellbeing, career development and sustainability
Financial and leave assistance for further education
Generous parental leave benefits
Payment of professional membership fees
At Investa, we know flexibility makes us more productive, contributes to health and wellbeing and drives employee engagement outcomes. We know our people have lives outside of work, and we absolutely want everyone to bring their best-selves to work every day. We also know that we want to do what we can to make the work-life blend for you as easy as possible. That’s why we have 21 different types of flexible working options. Everything from Flex Leave to Flex Place, Flex Hours and of course Flex Part-Time. The options are unlimited – talk to us about what works for you, and we’ll do our best to make it work for us too.
Job Types: Full-time, Permanent"
6,"Cutting - edge, market leading product
Permanent opportunity with market competitive salary
South Wharf modern office location with a subsidised onsite GYM
Do you have passion for technology and delivering solutions to end users?
DCA is offering a rewarding career opportunity for an enthusiastic professional to join our Support Services team as Application Support Analyst. Based in our South Wharf office, this role is to act as the first point of contact for all application support needs, incidents and requests and provide excellent customer service to all DCA Cities customers. Critical to the success of this role is a demonstrated consultative, customer-centric approach, a clear ability to build strong relationships with DCA Clients and business stakeholders at all levels and explain complex technology terms in a way which suits the intended audience.
Recent graduates with some experience within a software support environment supplying end-user software products to the Australian market are encouraged to apply.
The Role
This role provides an excellent opportunity for the successful applicant to join a team of technology experts in a growing organisation.
Applicants must be an Australian Citizen, Permanent Resident or hold a valid work permit or visa. Work eligibility will be checked as part of the recruitment process.

If you are successful in this role, you will enjoy:

A supportive and friendly team environment;
Stability to develop a your career in a growth focused company; and
A range of benefits as part of our Employee Benefit Program.
A competitive remuneration package is on offer and will be based on the successful candidate's experience, skills and knowledge.

Key responsibilities include:

Provide telephone and email-based technical support (Level 1 and 2) for software and hardware products (mobile bluetooth printers) and engaging assistance from 3rd parties where required.
Action responses and rectification of support incidents within agreed SLAs ensuring customer requests are appropriately prioritised.
Logging all support requests, calls and emails accurately in the designated service desk system (Salesforce) and ensuring cases are updated accurately and promptly to reflect current status.
Escalating cases to the Development team for technically complex cases or requests, whilst maintaining communication with the customer as to the status.
Ensuring maximum availability of production applications by conducting system health checks, providing timely and effective support and necessary remedial action.
The Company
Database Consultants Australia or DCA is an innovative technology provider with a specialist focus on, on-street parking management and infringement processing solutions incorporating:


Infringement issuing technologies, management and processing
Smart mobility sensor technology
Mobile way finding and payment applications
Digital permit technology
Specialist parking officers and intelligent patrol planning methodology
Smart mobility data analytics
What's Next?
To apply, please submit a cover letter and an up-to-date version of your resume to our quoting reference number DCA/1606181DEF by the closing date 1 June 2022.
DCA is an Equal Employment Opportunity employer committed to supporting a working environment of mutual respect, teamwork and trust and a workplace that attracts, develops and retains highly skilled people.
The purpose of this role is to act as the first point of contact for all application support needs, incidents and requests and provide excellent customer service to all DCA Cities customers.
Critical to the success of this role is a demonstrated consultative, customer-centric approach, a clear ability to build strong relationships with DCA Clients and business stakeholders at all levels and explain complex technology terms in a way which suits the intended audience."
7,"12 months plus 12 month option
All States + WFH (hybrid)
Aus Citizens only with ability to obtain a Baseline Security Clearance



The Opportunity:
Our Fed Gov Client is looking for experienced and curious Data Analysts to work in their new Data and Analytics Office (DAO).
Responsibilities include:
Working in multi-disciplinary teams to deliver data and analytics projects using Agile approaches
Working with business to understand data requirements and issues
Organising data into usable formats
Assessing data quality and cleaning data.
Delivering robust, user-focused data insights using Power BI, and other BI tools
You will join the Analytics Growth section and engage with business experts to deliver data and analytics solutions that improve decision making across the department’s diverse and interesting portfolio, which includes environment, resource management, biosecurity, trade, and other interesting fields.
Desirable experience:
Azure solutions for data analytics
Azure DevOps for managing work activities
Power BI experience
Statistical analysis skills
Eligibility:
Applicants must be Australian Citizens who are eligible to obtain a Baseline Security clearance.
Apply Now!
For further information please call our client manager Iain Cameron 0262010100 or one of our Consultants on 0262010100/ 0386139999"
8,"Requisition ID
9588
Country
Australia
State/Province
Victoria
City
Melbourne
About Us
Korn Ferry is a global organizational consulting firm. We help clients synchronize strategy and talent to drive superior performance. We work with organizations to design their structures, roles, and responsibilities. We help them hire the right people to bring their strategy to life. And we advise them on how to reward, develop, and motivate their people.
Our 10,000 colleagues serve clients in more than 50 countries. We offer five core solutions:
Organizational Strategy
Assessment and Succession
Talent Acquisition
Leadership Development
Total Rewards
Job description
About the role:
The Reporting and Analytics function sits within our Centre of Excellence and is an extension of our operational team. We strive to provide an exceptional level of service to both our clients and the delivery teams.
We are currently seeking an experienced, professional, and consultative Reporting Analyst to join our team in Melbourne.
This role will see you supporting the business with various reporting functions and insightful information to identify and deliver key analytics to our stakeholders.
About You
You will be naturally curious about data and be a true problem solver. You will have high attention to detail and be able to present your data to key stakeholders and the wider reporting team. You need to be comfortable with asking the right questions to gather the right information and your logical and analytical mindset will provide actionable and meaningful solutions to the problems you strive to solve.
To be successful in this position you will have:
Solid experience within a reporting function
Intermediate experience with Excel; working knowledge of pivot tables, IF statements, and macros
Power BI or Tableau experience
Be able to work in a fast paced, client driven environment
Next Steps:
At Korn Ferry we are passionate about what we do, the value we bring to our clients and the careers we provide our people. We pride ourselves on high quality execution, encourage a culture of ongoing career development and recognise performance and commitment.
Eager to develop your career? Take the first step into your future and apply now!


Korn Ferry is an Equal Employment Opportunity/Affirmative Action Employer - Minority/Female/Disability/ Veteran. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, or veteran status or any other characteristic protected by federal, state, or local law.

If you currently work for Korn Ferry or one of our affiliates, you must be eligible to apply for a different position within Korn Ferry to use the Careers Site. If you accept such a position, your benefits programs and Human Resources policies may change. Please consult with your HR contact for the new position concerning application eligibility, including any immigration/visa needs, benefit programs, and HR policies applicable to that position."
9,"We’ve made it our business to understand how people want to work today, tomorrow and beyond and as you’d expect, we practise what we preach in our own workplace as well.
Investa is one of Australia's largest and most well-known commercial real estate companies, committed to helping workplaces to thrive. We manage and develop office buildings in Australia's major business districts. Buildings designed for the way people work today - and the way we want to work in the future.
We currently have an opportunity for a talented and capable Research Analyst to join our Investment Management / Research team at Investa, reporting to the Head of Research & Strategy.
Your key purpose will be to create a market leading research function for Investa’s Build to Rent (BTR) business (‘Indi’) that facilitates the identification of market opportunities and site acquisitions and supports decision making required to deliver a successful BTR strategy. You will utilise research and evidence-based analytics to influence and support Indi stakeholders with thought leadership and innovative solutions to market challenges.
*
Your major accountabilities will include: *
Creating and leading a robust and credible, value-add BTR research function that adds value to Indi’s BTR strategy.
Working seamlessly with the broader BTR team to ensure Indi becomes Australia’s preeminent BTR brand, platform and portfolio of assets.
Actively challenging current BTR market and Indi’s strategy to influence the Investa leadership team and business decision making process.
Key responsibilities:
Work with the broader BTR team to pro-actively identify market opportunities.
Ensure that a robust, consistent and data-focussed framework and process is established for evaluating potential BTR acquisitions; working closely with the Indi Fund team, Site Originations, Developments and Operations.
Pro-actively utilise data sets to identify market trends that could lead to well-informed BTR site acquisitions.
Source, collate, manage, and drive efficiencies in research data management and analytics.
Learn, adopt and leverage best practice data management practices to deliver quantitative improvements to the analytics and modelling functions.
Contribute to the development of modelling tools and formulas to assist with forecasting and presentation of data-driven insights.
Analyse data and identify leading indicators to validate relationships, assess future trends and provide market insights.
Utilise big data tools and techniques for the purpose of analysing, providing insight and validating market insights.
Engage with key stakeholders to identify priority information gaps and research-driven analytic needs.
Provide qualitative reviews and summaries of relevant research and data to assist with informing internal market views, as appropriate.
Assist in the preparation of Research papers, reports and presentations to internal and external stakeholders.
Ensure all processes are documented, validated & accessible and contribute to process improvement.
Support with preparing market-overviews and research inputs for Investment Committee papers; related to new acquisitions or the broader Indi strategy.
Do you have what it takes to be successful in this role?
Education & Experience
Tertiary qualifications in Business, Commerce, Property Economics or similar is essential.
Demonstrated work experience in a property research, analyst or equivalent role.
Experience in and understanding of complex database management.
Experience and demonstrated competency in analytical writing.
Skills
Team player and self-starter with high initiative and attention to detail.
High level of Excel proficiency, including competency in using complex formulas.
Curiosity and perception. Passion for empirical research and for exploring solutions with data.
Analytical thinking and strong problem-solving skills.
Proven interpersonal and stakeholder engagement skills.
Ability to quickly visualise and clearly outline issues, concepts and solutions.
Knowledge
Residential real estate (essential)
Build to Rent (preferred – but not essential)
Knowledge of residential property markets (development and funds management).
Knowledge of economic/financial markets.
Why join Investa?
Recognised as:
AFR Boss Best Places to Work (Property, Construction, Transport sector) – First Place – 2021
Australian HR Awards – Excellence Award: Best Workplace Flexibility Program
HRD - Employer of Choice 2021
WGEA Employer of Choice 2020 for Gender Equality 2019-21
Australian Business Awards - Employer of Choice 2020
Flexible work options available to all employees
Unique company culture and friendly work environment
Finalists in the 2020 Property Council of Australia/Rider Levett Bucknall Innovation & Excellence Awards for Diversity (< 250 employees) reflecting our commitment to diversity and inclusion
Investment in employee wellbeing, career development and sustainability
Financial and leave assistance for further education
Generous parental leave benefits
Payment of professional membership fees
At Investa, we know flexibility makes us more productive, contributes to health and wellbeing and drives employee engagement outcomes. We know our people have lives outside of work, and we absolutely want everyone to bring their best-selves to work every day. We also know that we want to do what we can to make the work-life blend for you as easy as possible. That’s why we have 21 different types of flexible working options. Everything from Flex Leave to Flex Place, Flex Hours and of course Flex Part-Time. The options are unlimited – talk to us about what works for you, and we’ll do our best to make it work for us too.
Job Types: Full-time, Permanent"
