,0
0,"Policy, Analysis and Legislation, Revenue Analysis
Canberra
Ongoing/non-ongoing, full-time/part-time, $79,880 - $84,682 + 15.4% super
We are seeking professionals to join our Revenue Analysis Branch (RAB).

As a Revenue Analyst in our Policy, Analysis and Legislation business area, you’ll undertake research and data analysis activities relating to forecasting and reporting on revenue collections, administered expenses, policy costing, compliance costs, and management of tax data.

You’ll assist in the preparation of taxation data and statistics for release, publication or inclusion in Parliamentary or other briefings.

You’ll apply your understanding of issues associated with revenue and expense forecasting and budget preparation to provide tailored advice to various partners.

These roles may be offered on an ongoing or non-ongoing basis in Canberra."
1,"At Google, we have a vision of empowerment and equitable opportunity for all Aboriginal and Torres Strait Islander peoples and commit to building reconciliation through Google’s technology, platforms and people and we welcome Indigenous applicants. Please see our Reconciliation Action Plan for more information.

Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Sydney NSW, Australia; Melbourne VIC, Australia.
Minimum qualifications:
Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.
10 years of experience in data engineering/analytics/science solutions for enterprise B2B software.
Experience as a pre-sales solutions architect/specialist sales engineer in a technology company that specializes in modern data and analytics solutions.

Preferred qualifications:
Experience in technical selling role/field, such as analyst, data engineer, data scientist, machine learning engineer, etc.
Experience in solutioning advanced data engineering and integration solutions, such as ELT/ETL, CDC, Stream/Batch/Unified Processing, Unified Data Warehouse/Lake Architectures, Distributed SQL Engines/Federated Queries, etc.
Experience in solutioning advanced data governance solutions, such as Data Catalog, Data Quality Management, Master Data Management, Data Leakage Prevention products, etc.
Experience in solutioning advanced AI/ML or data productivity suite of products, such as EDA, Model Build, Deployment, Industry focused AI Toolboxes (i.e., Retail, Manufacturing, Healthcare, etc.), etc.
About the job
The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
Partner Engineering at Google Cloud Platform is responsible for ensuring customers benefit from partner solutions complementing Google Cloud's capabilities. In this role, you will work with solution architects and sales teams as a security subject matter expert for a partner solution to make Google Cloud useful to our customers. You will help prospective customers understand the power of the partner solution in conjunction with Google Cloud, explaining technical features, helping customers design architectures, and problem-solving any potential roadblocks.
Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.
Responsibilities
Help Sales and Google Cloud Architect teams understand the core value proposition for the security partner or solution.
Help the Sales and Solution Architects identify the right personas and segments of customers for the security partner or solution.
Help our data and analytics partners create solution plays, and complete guides for the Sales team and the Solution Architects to help them pitch and architect the solution.
Operate systematically and at scale by working with a Program Management team to identify prospective existing and new accounts in the territory, organizing them by industry segment, and creating applicability criteria of a given partner solution and an execution plan.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form."
2,"Education
Assessment
Melbourne
Full Time, Permanent

5/5/2022

$105,388 PA plus 14% superannuation
Full-time, permanent role
East Melbourne location with WFH flexibility
Additional leave over Christmas Period and wellbeing days

About the RACGP

The Royal Australian College of General Practitioners (RACGP) is the peak representative organisation for general practice, the backbone of Australia’s health system. We set the standards for general practice, facilitate lifelong learning for GPs, connect the general practice community, and advocate for better health and wellbeing for all Australians.

We’re committed to diversity and social inclusion. We encourage applications from people who identify as Australian Aboriginal and/or Torres Strait Islander, people with a disability and people from culturally diverse backgrounds.

About you

As the successful candidate, you’ll bring your deep and broad knowledge of best practice data analysis, business intelligence, machine learning, and high level of technical and problem-solving skills to the role, along with your reporting expertise to provide state-of-the-art analytics support to the Education business unit. You’ll also have:

Advanced skills in quantitative data analysis with extensive knowledge of statistical theory and reasoning.
Advanced level R programming skills in R Studio with substantial experience in data cleaning, data exploration, statistical analysis and visualization.
Basic to intermediate level skills in Microsoft Power BI and advanced level skills in Microsoft Excel.
Advanced problem-solving skills, with an ability to manage timelines and conflicting priorities.
Ability to coordinate and manage communication on data projects.
Demonstrated experience in working in a team and independently, preferably in a comparable data analysis and reporting role.
A proven track record of analytical accuracy and quality assurance experience.

The opportunity

As our Senior Data Analyst you’ll be responsible for effectively processing Pathway entrance and Fellowship assessment exam results to ensure the RACGP policies and standards are met. You’ll provide statistical and analytical advice for operational tasks and data-driven decision-making processes, and will ensure that the data, code base, reporting framework and Quality Management System (QMS) are up to date and align with all the changes in policies, processes and business rules. Some of your key responsibilities include:

Process assessment results, statistics and reports using RACGP’s result processing framework.
Design and conduct research analysis and forecasting to support assessment development and operations.
Collaborate with stakeholders in all aspects of data analysis including data collection, data quality, and interpretation of statistical findings.
Take accountability of the design and development of the analytical framework for exam result processing and reporting.
Design, develop and maintain the business intelligence framework for reporting the results of current and historical exams.
Develop reports to formats and standards as specified and requested by stakeholders.
Analyse the impact of policy and business rule changes on analytics and reporting processes.

Benefits:
Salary plus 14% superannuation
Full-time, permanent role
East Melbourne location near Jolimont station
WFH flexibility
Additional leave over Christmas Period and wellbeing days

To apply

Please apply as soon as possible as we will be reviewing applications as they are submitted, and interviews will commence with suitable applicants who have applied.

Towards the end of the process, applicants will be asked to complete pre-employment screening, which may include reference checks and/or a National Police Check.

For a copy of the position description, visit https://www.racgp.org.au/the-racgp/careers/position-descriptions

RACGP internal applicants, please notify your manager of your internal application."
3,"Brighter Futures Start here
As Australia’s biggest and most loved retailer, we’ve been brightening up everyday life for families for over 50 years. At our stores, distribution centres, and offices in Australia and New Zealand. All around the globe. Our diverse and inclusive 47,000 strong team come together for a common cause. Giving families easy access to our on-trend products and incredibly low prices – it’s the heart of everything we do.
As a leader in the retail market, we’re optimistic about our future and yours. We’re relentless in our pursuit for results, but changing at a rapid rate, giving you challenging work that you’ll be proud of. We celebrate your uniqueness and individuality. Because at Kmart it’s not just what you do, it’s who you are that makes every day living brighter.


What you’ll be doing
Our Kmart Stores New Format teams are currently delivering some exciting digital initiatives across the inventory management, fulfillment, payments, and mobile application streams. There is a serious focus on what the future of in-store technology looks like within Kmart – it is truly an exciting time to be working in this space! We are looking to bring on board an Operations Data Analyst to help deliver innovative projects such as robot integration for inventory management and AI. You will be working on greenfield projects where you will have the opportunity ensure accurate data between our systems and analyse information & results.


Our teams are building and creating ‘first of their kind’ technology in retail. You will be working on proof of concepts projects that will change the way Kmart technology is used in stores.


Reporting into the Analytics Lead for Digital Stores, the role of Operations Data Analyst is to help our tribe to leverage data for business decision making. This includes building insightful reports and dashboards, performing hypothesis testing and generating recommendations for optimising business operations.


Key responsibilities for this role include:
End to end data validation and correction
Systems testing
Analyse data and provide statistical analysis to improves cost and customer experience
Issue and bug identification
Be the conduit between operations and data tech teams
Maintain a data dictionary, definition and documentation
Collaborate with the wider data science and data engineering teams to deliver value


About You
To meet the challenges of this role, you will ideally possess the following skills and experience:
Technology or Mathematics related tertiary qualification preferred
2+ years’ experience in data analytics related roles
Strong proficiency in SQL and Microsoft Excel required
Exposure to business intelligence tools, such as Power BI is helpful
Quantitative aptitude with exposure to mathematical modelling
Ability to demonstrate thought leadership, initiative and operate in an autonomous manner
Clear communicator with an ability to ensure consistent messaging in relation to measuring business performance
Strong ability to manage multiple accountabilities and prioritise effectively
Demonstrated ability to deliver results in a fast paced environment


Benefits we’ll offer you:
A dynamic learning and support program
Competitive remuneration
Flexible working through our Flex Where, Flex When, Flex Well policy
A discount card for Kmart, Target, Officeworks and Bunnings, plus other benefits
An inclusive, fun recognition program
A bonus program (where eligible)
Development opportunities across Kmart Group (comprised of Kmart, Target and Catch) as well as the broader Wesfarmers Group.
Wesfarmers Share Plan access (where eligible)


We’re here to make everyday living brighter
From humble beginnings in Burwood East, Victoria, in 1969, we’re now an essential part of 300 communities, and proud of it! From bedding to apparel to kitchenware and beyond. We’re designing and creating the products people reach for every day. In-store, online, or Click & Collect – getting the products we love into the hands of happy customers is what we aim to do best. From the remote outback to coastal towns and big cities, and everywhere in-between. We’re progressive in our pursuit to create seamless customer journeys for satisfied shoppers.


A place you can belong
At Kmart, we celebrate the rich diversity of the communities in which we operate and are committed to creating inclusive and safe environments where all our team members can contribute and succeed. We believe that all team members should feel valued, respected and safe irrespective of your gender, ethnicity, indigeneity, religious beliefs, education, age, disability, family responsibilities, sexual orientation and gender identity and we encourage applications from all candidates.
We believe that everyone should have the opportunity to do well when applying or working at Kmart, therefore we encourage you to share any feedback by emailing diversity@kmart.com.au if you would like any adjustments.
If you would like to explore a career with Kmart and this sounds like the perfect role for you – apply now!
Phone screening and interviews will occur prior to the closing date of this advertisement. Candidates interested in this position should apply directly to this advertisement as we are not accepting applications from recruitment agencies. As part of our recruitment process, we will be conducting Pre-Employment Checks with our successful candidates – this will include a police check. Talent Acquisition will provide further updates to candidates as they progress through our recruitment process.


We are a Circle Back Initiative Employer – we commit to respond to every applicant."
4,"Required Skills: SQL / Teradata / shell scripting
Roles and Responsibilities:
GIT Bash
Shell Scripting·
Strong SQL coding ·
Jenkins·
UNIX environment·
Control-M
Attitude·
Collaborative & Persuasive,
Self-motivated, Committed,
Always-on learner·
Delivering high quality, fit for purpose.
Additional skills: ·
Mainframe general knowledge,
OPC, OMCS, File-aid etc ·
COBOL (would be handy with upgrade project, but understand not likely to have COBOL and key skills above)·
JCL·
Endevor·
Python
Domain
Banking experience must
Job Types: Full-time, Permanent
Salary: $90,000.00 – $93,900.00 per year
Schedule:
8 hour shift
Work Authorisation:
Australia (Preferred)"
5,"Allen & Overy is a leading global law firm operating in over thirty countries. By turning our insight, technology and talent into ground-breaking solutions, we’ve earned our reputation as a firm that leads the industry and opens up new possibilities in law. Our lawyers are leaders in their field – and the same goes for our support teams. Ambitious, driven and open to fresh perspectives, we find new ways to deliver our services and maintain our reputation for excellence, in all that we do.

The nature of law is changing and with that change brings unique opportunities. We are defined by our consistent commitment to creating a collaborative and supportive working culture and investing in your progress. We’re committed to supporting a culture that drives diversity and inclusion. Every day, we’re working hard to create an environment where you feel you can bring your authentic self to work. To be comfortable and confident to be who you are in the workplace. To feel like you belong. We offer rewarding careers that are built around your strengths and designed to ensure you can achieve your personal and professional ambitions. Joining our global team, you’ll discover what collaborating on a global scale really looks like; you’ll learn how to help drive change; and you’ll be at the heart of an organisation that’s defining the future of law. If you’re ready to find a place to thrive: It’s Time.

Department purpose

The Global Information Security & IT Risk team is responsible for setting the firm wide strategy for Information Security and changing, managing and maintaining controls to ensure continuous alignment with the strategy. The team must deliver and support robust, reliable, cyber and information security controls 24x7x365 on a global basis.

The Information Security & IT Risk team is responsible for primary controls assurance, client compliance and security requirements and security controls definition. In addition the team is also responsible for tracking obvious and far less obvious threats and vulnerabilities to ensure the protection of client data and the firms digital services, information and data remains robust even as the threat environment constantly evolves.

Role purpose

The Threat and Vulnerability Analyst is a member of the Global Information Security Operations team. The job is focused on six outcomes:

1) Deliver vulnerability analysis services support the Snr Threat and Vulnerability Analyst and the wider Security operations team by gathering, analysing and prioritising vulnerability data across the estate using vulnerability scanners (CVE scanners), pen test tools and services and network scanning capabilities.

2) Conduct risk and threat assessments document risk and threat analysis when detailed analysis of a vulnerability or threat is required. Share analysis with the Snr Threat and Vulnerability Analyst and wider global security operations team.

3) Get to know applications at a security level build an understanding of application architecture, associated data flows and behaviours as well as the characteristics of generic IT infrastructure (DNS, directory services, web proxies etc). Build security monitoring rules which accurately reveal anomalous behaviour within applications, data flows, Cloud SaaS/PaaS/IaaS services as well as traditional IT infrastructure.

4) Find back doors and miss-direct attackers conduct day to day monitoring on honey pots and evolve honey pot content, placement and monitoring rules. Use network and service scanning and data analysis tools to discover vulnerabilities over and above the output of vulnerability monitoring tools (for example open application services). Probe and assess these potential vulnerabilities. Adopt and promote the use and lexicon of MITRE ATT&CK and STRIDE across the global threat hunting team and consistently analyse and represent attacker behaviour in the context of MITRE ATT&CK.

5) Maintain the vulnerability register support the Snr Threat and Vulnerability Analyst by sharing relevant vulnerability and threat data whilst updating the threat and vulnerability registers when asked to do so. Work closely with threat intelligence providers to regularly keep up to date with changes in the threat environment our firm, the legal services industry and our supply chain.

6) Globalise the InfoSec incident response process by a) Monitoring the main InfoSec mailbox and ticket queue during local business hours b) Initiating and managing the InfoSec incident response process when a suspect incident occurs in local business hours c) Collaborating with InfoSec colleagues in Europe and North America to ensure that priority tasks and issues are adopted and handed over at the opening and closure of local business operations.

Key relationships
Works closely with the Senior Threat and Vulnerability analyst sharing vulnerability and threat intelligence and the Manager Security Operations (Belfast).
Works closely with the Security Logging & SIEM Snr Analyst (Belfast).
Maintain a close working relationship with the IT Service patching teams globally.
Maintain a good relationship with the Manager Security Operations (Belfast).
Maintain a good relationship with the Lead Security Assurance Architect (London).
Role and responsibilities
Deliver vulnerability analysis services.
Conduct and document risk and threat assessments.
Get to know applications at a security level.
Find back doors and miss-direct attackers.
Promote the adoption and use of the MITRE and STRIDE frameworks across global Security Operations team globally. Demonstrate by example the efficacy of MITRE and STRIDE.
Team

Security operations staff (APAC) of which this role will be a team member.

Key requirements
Demonstrate experience of IT security and IT infrastructure security, security vulnerability management and cyber incident response.
Possess relevant vocational qualifications (CISSP / CISM / CEH for example).
Be familiar with log analysis and data analysis tool like ELK and be able to leverage such tools to accelerate the analysis of a suspect security incident.
Demonstrate energy and tenacity and the ability to delivery threat and vulnerability analysis in time critical and sometimes demanding situations.
Be able to communicate well visually (through slides and pictures).
Be able to work well in a technical team locally and globally."
6,"12 months max term opportunity
Location: Parramatta
How will I help?
This role exists to conduct Enhanced Customer Due Diligence within Anti Money Laundering & Sanctions Operations (AMLSO). The Customer Due Diligence, Customer Risk Assessment team is required to assess triggers when a new customer is on-boarded or when changes are made to a customer’s profile that may trigger a significant change to the customer profile or when customer are screened for Politically Exposed Person (PEP) or Counter Terrorism Financing (CTF).
You will be responsible in conducting Enhanced Customer Due Diligence (ECDD) on Increased Risk Trigger and Customer Screening and contacting Business Units, Branches, Relationship Managers to obtain information required to adhere to the ECDD standards and the AML Operations Agreement.
You will respond and action queries in a timely manner and attach all documentation to the audit log of the case for record keeping purposes. You will alert management of Customer Alerts –CTF and Politically Exposed Person (PEP) on the daily and weekly screening as well as increased risk trigger. You will raise Unusual Matter Report when red flags are identified as per AUSTRAC typologies, be across Threshold Transaction Reporting (TTR) and International Funds Transfer Instructions (IFTI) and make sure that daily uploads to AUSTRAC are conducted and the responsible area is notified immediately if uploads fail.
As a Risk Analyst- Customer Due Diligence, you will make sure that you adhere with the effective controls that are in place for all financial, regulatory and compliance requirements and processes. You will understand the (Increased Risk Role) IRR and how it interacts with other areas within Financial Crime and Fraud Prevention (FCFP) and how your actions can impact risk in other divisions and can confidently act in accordance to the policies and scenarios in the area.
What is in it for me?
In a word, lots! As well as job flexibility and the financial benefits for being part of the Westpac team (like special banking, wealth, and insurance offers) you will be paid well, and trained so your career can grow as you do. You will also be encouraged to take part in our fun community projects as a paid volunteer. Importantly you will play a significant role in the future of a business that has been around for 200 years.
What do I need?
You will have strong attention to detail and the ability to make decisions in a timely manner. You will have an analytical though process and be able to juggle multiple priorities to ensure service level agreements are met.
You will be comfortable in navigating multiple systems simultaneously
Previous experience in Banking and Financial Crime would be advantageous.
What is it like to work there?
We aim to provide one big, supportive team of people who love helping others succeed. As an equal opportunity employer, we are proud to have created a culture and work environment that values diversity and flexibility- and champions inclusion.
How do I Apply?


As part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. We invite candidates of all ages, people with a disability and Indigenous Australians to apply.
The health and wellbeing of our employees is our top priority. We have developed clear standards to ensure our people are confident, safe and healthy whether they are working from a Westpac Group site or working from home. These are based on expert medical advice. The health and wellbeing of our employees is our top priority. We have developed clear standards to ensure our people are confident, safe and healthy whether they are working from a Westpac Group site or working from home. These are based on expert medical advice and Safe Work Australia guidelines.
The Westpac Group has implemented an Entry to Workplace Policy that requires employees and others entering our workplaces to be fully vaccinated against COVID-19 by relevant dates set out in the policy (subject to applicable medical exemptions). Our employees are required to comply with the policy regardless of whether they are in customer-facing or non-customer-facing roles (as employees in non-customer-facing roles are required to attend the workplace under our Hybrid Working Strategy). Further, the Westpac Group is required to comply with State/Territory issued public health orders/directions which require relevant workers to be vaccinated against COVID-19 to enter workplaces.
By applying for this role, you acknowledge that you are aware of our Entry to Workplace Policy, and if you secure employment with us, you will be required to comply with the policy."
7,"Join our Commodities Global Markets business in this unique role as an enthusiastic and innovative Analyst, looking to gain experience in data analysis and project co-ordination. You'll need to be confident with data and possess an eye for detail as well as take an innovative and strategic approach to your work.
You'll be analysing business data, diagnosing pain points and creating solutions. You will work closely with Technology, Finance and Businesses stakeholders to determine requirements, assisting with implementation and testing changes.
This is a unique opportunity to develop and build a network across multiple teams in Macquarie and will suit you if you are a self-starter who can manage a range of competing priorities and projects, with the ability to adapt to change in a dynamic environment.
The Commodities Global Markets Data team ensures that the team are maintaining data appropriately with regards to completeness, quality and timeliness, as well as ensuring that Commodities Global Markets data is compliant with global regulations and internal policies. Your responsibilities will include:
ensuring that data produced is complete, accurate, valid and relevant using system validation and exception / control reports and consistent with regulation and internal policies
stakeholder communication and managing issues to resolution
analysing data to identify issues, designing resolutions and writing requirements, and co-ordinating implementation of system and process changes
completion of periodic reporting tasks, requiring interpretation of financial markets data
reviewing current control framework to develop and implement robust controls
working with a variety of teams to implement solutions to assure consistent data quality for all consumers of our data
liaising with analysts and businesses to ensure that data is represented appropriately, including for complex derivatives.
To be considered, you will:
hold tertiary qualifications with a high level of academic achievement; PC literacy, particularly in Excel will be assumed
possess a minimum of 1-2 years financial services or financial markets experience
Understand of have knowledge financial products
highly numerate with an ability to interrogate, interpret and draw conclusions from multiple data sources, and have an aptitude for identifying issues and determining solutions
have a level of confidence to convey complex and technical requirements to both peer and senior colleagues
consider yourself a strategic thinker who enjoys problem solving.
If you are looking to grow your career within data and projects, please apply online today by submitting a covering letter and concise resume. Please note that applications without the supporting cover letter will not be progressed.


Job no: CGM-962739
Work type: Permanent - Full time
Location: Sydney
Category: Junior, Data & Analytics
Group: Commodities and Global Markets
Division: Central
Recruiter: Verity Morison
Opening Date: 27/1/2022"
8,"12 Month Fixed Term Contract
Location: Clarence Correctional Centre (Grafton, NSW)
Immediate Start

About you
You are a process driven and solution focused Data Analyst with exceptional attention to detail, sound judgement, and a flexible and agile approach. You are engaging and collaborative, whilst having a high degree of emotional intelligence and outstanding interpersonal and communication skills. You thrive in fast paced, complex and ever-changing environment, and can prioritise conflicting needs diplomatically whilst following through on actions and commitments. You’re a respectful and professional person who demonstrates exceptional values in everything you do.

About the role
The key purpose of this position is to support the Facilities Manager in the delivery of the Asset Management Plan. Specifically, the forecasting of and extension to; lifecycle replacement activity. Integral to the success of this position is the validation of asset data, including life expectancy and maintenance activities that will enhance the assets life expectancy.

To be successful in this role you will have:
The highest levels of personal integrity and ethical behaviour
Degree level qualification or higher in Engineering or Commercial discipline
Demonstrated experience working within a property or asset management environment
ERP/ CAFM / CMS application configuration and user experience
Knowledge of PAS 1192-3:2014.
Sound knowledge of relevant legislative requirements according to contract obligations, and any other specific requirements for a Correctional Centre.
Sound business acumen and a track record of delivering value-add impact in a fast-paced, dynamic environment
Strong organisational and time management skills
A highly motivated self-starter with demonstrated ability to drive outcomes

This is a position of trust and responsibility and to support this we will conduct a thorough probity assessment as an essential section component for this role.

About Us
We have been operating correctional services in Australia for almost 15 years. As a prison operator, safety and security is always our first priority and the new Clarence Correctional Centre is no exception. Newly opened in mid-2020, this 1,700-bed state-of-the-art facility is the largest correctional centre in Australia.

At Serco, you’ll be part of a team of more than 50,000 people delivering essential services on behalf of governments and organisations around the world. We apply world's best practice, insights and technology across six key sectors: Citizen Services, Defence, Healthcare, Immigration, Justice and Transport. But no matter your role or where you’re based, we each share the same goal – to bring service to life to make a positive difference every day. To learn more please visit www.graftonserco.com.au

About NSW Mid-North Coast
Located on the beautiful NSW Mid-North Coast approx. 6 hours’ drive from Sydney and 4 hours from Brisbane our region offers rainforests, epic headlands, sand dunes and some of the best Australian beaches with a variety of multi-cultural cafes, restaurants and friendly community towns. Our region has something to offer everyone from trail walks in National Parks, ocean adventures, sporting, relaxation and a vibrant culture. With recent Pacific Highway upgrades and investment in infrastructure, and with affordable housing and access to good schools and recreation options, you can select the ideal community location for your next career move with your family. Our closest communities are Grafton set on the Clarence River or if you are looking for that beach lifestyle consider Yamba, Woolgoolga, or Coffs Harbour with additional smaller beach communities along the way that all offer something unique.

Join Us
If you are inspired to make a positive difference and would like to be considered for this opportunity, please apply now .

Serco values of Trust, Care, Innovation and Pride underpin everything we do. We are curious, creative and collaborative. Our people help in ways that matter.
By joining Serco you will have access to our Global Employee Networks – SercoInspire (Gender), SercoEmbrace (Multicultural), SercoUnlimited (Disability) and In@Serco (Networks) Serco Employee Networks, led by colleagues who are passionate about diversity, inclusion and belonging.
NOTE: Google Chrome is the preferred browser to access Serco careers website"
9,"Role Highlights

Perm - Up to 80K package incl. super
Huge opportunity for career progression
Hybrid working arrangements (Sydney CBD office/WFH)
The Role:

As Data Analyst you will be responsible for ensuring data is accurate and of high quality, for effective benefits management of all clients.

Skills & Experience

About You:

2 yrs+ commercial experience in a Data Analyst role
Advanced SQL skills
Hands on ETL experience (Extract, Transform, Load)
Intermediate Data Visualisation & Reporting skills (PowerBI/Tableau)
Advanced Excel skills
Strong written & verbal communication skills
Sound like the next exciting step in your career? Apply now!

#LI-LE1"
