,0
0,"Banking Products include home loans, commercial loans, car loans, credit cards and deposits across the Personal Banking and Business Banking channels. Within Product & Technology, we are proud of our culture of diversity & inclusion and high performance. We have a strong focus on meeting community expectations and making risk-conscious and data-based decisions. In line with our entrepreneurial and innovative culture, we adopt Enterprise Agile ways of working and embrace a growth and learning mindset.
In this role, your key responsibilities will include supporting:
delivery of an ongoing program, in partnership with business stakeholders, to reshape our approach to the ongoing management of risks and controls by:
understanding products across end-to-end product value chains
evaluating risks, and control environment effectiveness
diagnosing the suitability of our control environment and identifying weaknesses or potential uplifts
developing a risk-based approach to resolving identified opportunities
provide advice to the business on various topics, including the safe implementation of business change, changes to the risk environment and control development.
contribute to the development of an ongoing monitoring framework for value chains (risk profiles) across all Banking Products
improving stakeholder visibility, awareness and understanding of the risk and control environment in place to support their business
creation, maintenance, continuous improvement, and governance over the approach to ensure consistency and the implementation of best practice
To be successful in this role you will have demonstrated:
a practical understanding of the implementation of risk and control frameworks to manage non-financial risks in highly regulated contexts
a proactive and pragmatic approach with a strong bias to action, and an ability to engage and manage multiple stakeholders and promote a strong risk culture while balancing competing priorities
an ability to effectively challenge the business, role modelling a mindset of “chronic unease” and customer outcomes focus
clear and transparent communication skills
Ability to prioritise tasks and meet deadlines


About Banking and Financial Services
Banking and Financial Services is Macquarie’s retail banking and financial services business, providing a diverse range of personal banking, wealth management, business banking and vehicle finance products and services to retail clients, advisers, brokers, and business clients


Our commitment to Diversity and Inclusion
The diversity of our people is one of our greatest strengths, and in combination with our inclusive environment, it enables us to deliver innovative and sustainable outcomes for our people, clients, shareholders, and communities. From day one, you'll be encouraged to be yourself and supported to perform at your best. If our purpose of ‘empowering people to innovate and invest for a better future’ is as inspiring to you as it is to us, please apply. With the right technology, support and resources, our people can work in a range of flexible ways.

We are committed to providing a working environment that embraces and values diversity and inclusion. We encourage candidates to speak with a member of our recruitment team if you require adjustments to our recruitment process to support you, and the type of working arrangements that would help you thrive.


About Macquarie
A career at Macquarie means you’ll have the opportunity to develop and utilise new skills, explore interesting fields and do challenging work that will impact the lives of people around the world—whether it’s accelerating the green energy transition, helping sustain global food supplies, financing social housing projects or investing in essential infrastructure. At Macquarie, we’re empowering people to innovate and invest for a better future.
Our size and international presence means your work can take you anywhere—across business groups, disciplines, sectors and borders. With 17,000+ employees and offices in 33 markets around the world, we’re a truly global organisation.
You’ll be supported by a diverse team where the unique perspectives, ideas and experiences that all of our people bring are valued. You’ll be empowered to address unmet needs in our communities whilst advising and investing alongside our clients and partners. Working with us, you’ll have the opportunity to make a difference.
Macquarie is a global financial group providing clients with asset management, retail and business banking, wealth management, leasing and asset financing, market access, commodity trading, renewables development, specialist advisory, capital raising and principal investment.


Job no: BFS-965117
Work type: Permanent - Full time
Location: Sydney
Category: Mid-senior, Mid-level, Data & Analytics, Technology
Group: Banking and Financial Services
Division: Product & Technology
Recruiter: Chelsea Hollins
Opening Date: 18/5/2022"
1,"Job Code: FINBA
Qualification (Educational): Qualified Chartered Accountant or Certified Public Accountant or equivalent degree.
Location Country: Australia & New Zealand
Years of Experience: 5-10 Years
Skill Sets Required:


Qualified Chartered Accountant or Certified Public Accountant or equivalent degree.
Dynamic self-driven achiever having in depth understanding of the financials.
Should have Business Analysis and Solutioning Skills.
Experience in handling end to end ERP implementation within Australia covering General Ledger Accounts Payable Receivables and Fixed Assets Modules.
Excellent communication and presentation skills.
Roles & Responsibilities:


Collect requirements, analyze businesses and execute process workshops.
Interact with teams of developers offshore teams then monitor and tune performances.
Identify develop and integrate Ramco ERP solution to meet predefined requirements interacting with clients sales and technical consultants.
Participate in all ERP implementation steps as assigned.
Prepare necessary project documentations associated with implementation like manuals, customer query data, issue logs and their resolution.
Identify and develop business processes and demonstrate good report writing skills.
Develop and enforce collaborative working relationships with customers.
Lead process reviews and application configuration discussions with clients."
2,"Billings Analyst/Revenue Accountant
$80,000 + Bonus + Super + Excellent progression - be the next Finance Manager!
Next to Central Station - Brand new offices/ WFH flexibility & Great Benefits!
Switched on Accountant looking to work for a leading tech company with strong Excel & analysis skills then this is the job for you!
Use your analytical skills to think outside the box, identify process improvements and analyse data across billings and revenue accounting.
THE CLIENT
My client is a fast growing business & currently one of biggest Australian owned organisations specialising in technology and providing cutting edge products to their clients. The company has great values and is determined to create a great working environment for its staff with an extremely low staff turnover and awarded 4th best company to work in their sector! State of the art recently renovated modern offices, with break out zones, table tennis, flexible hybrid working and relaxed dress code!
BENEFITS
WFH flexibility - 3 days work from home/ maximum 1-2 days in the office!
Voted 4th best company to work for!
Modern offices - Newly renovated, brand new offices with table tennis!
Convenient location - next to Central station
Discounted and cheap IT products
Discounts at different stores
Ability to buy extended leaves
Extended Parental leave
Fun, vibrant & agile working environment
Paid CPA annual membership and free study leave for exams, as well as CPA qualified mentorship support!
THE ROLE
Managing billing including data manipulation, raising/sending invoices liaising with stakeholders
Revenue accounting and reporting
Data analysis and reporting on billing and billing trends
Reconciliation of revenue balance accounts
Responding to complex billing queries, problem solving
Process improvements, streamline efficiencies
Balance Sheet and P&L
Assist in preparation of year end and Audit
THE PERSON
3-5+ years accounting experience.
Highly competent with Excel and data manipulation
Previous experience managing billing for a services organisation
Ambitious and drive to progress your career
To be able to analyse, think outside the box, problem solve
High level of communication skills - oral and written with the confidence to liaise with clients
Desirable - completed or working towards CPA, NetSuite experience
If you have the skills required, please apply now, or contact Gina Morley at AccountAbility on 02 8296 5321 for further information."
3,"Job no: 512974
Work type: Permanent - Full Time
Location: VIC

Permanent - Full time position – Dandenong South, VIC
Competitive salary package
A leader in sustainability and renewable resources
Who we are
When you start to think of waste as a resource, it opens a world of possibilities. Cleanaway is the largest waste management company in Australia providing sustainable waste management solutions to a range of customers including councils, small businesses, large corporate entities and government agencies to provide sustainable waste management solutions.
Your new role
Analyse data to identify quality gaps and areas for improvement.
Implement reporting processes to track data quality improvements over time.
Develop / coordinate and implement monthly audit action plans and monitor their progress.
Manage the Master Price Files for “national” customers including up-rate process.
Establish customers in operating systems, reporting and analysis of sales report.
Your skills and experience
Excellent attention to detail.
Ability to organize, coordinate, and execute on details.
Ability to effectively manage data quality.
Knowledge of Information Technology principles.
Expert knowledge of and experience in VRP.
What we offer
Competitive Salary Package
Learning and development opportunities
Scope for growth within the business
Support from a strong network of business partners
Employee share program
Great staff benefits program including novated car leasing and salary sacrificing on work-related purchases, discounts on private health insurance and more
How to apply
Cleanaway is an employer of equal opportunity and encourages and values diversity and inclusion. Aboriginal and Torres Strait Islander people are encouraged to apply. If this sounds like the opportunity you’ve been waiting for, please forward your resume and cover letter by clicking Apply.
https://www.cleanaway.com.au/
Advertised: 26 Apr 2022 AUS Eastern Standard Time
Applications close: 25 May 2022 AUS Eastern Standard Time"
4,"Chevron is one of the world's leading integrated energy companies and has been present in Australia for more than 70 years. Chevron Australia operates the Gorgon and Wheatstone natural gas projects; manages an equal one-sixth interest in the North West Shelf Venture; operates Australia’s largest onshore oilfield on Barrow Island; and delivers quality fuel products and services across Australia via Puma Energy.

At Chevron Australia, we’re powered by the talent and ingenuity of our people. Experience opportunity, challenge and fulfillment within a diverse and inclusive workplace and be part of providing the energy that powers the world forward.
about the role
Chevron Australia has an exciting opportunity for a Financial Analyst to join the Barrow Island (BWI) Operations Finance team. Reporting to the BWI Finance Manager, the role will be based in Perth.
The Finance Analyst will lead and oversee activities related to the establishment of finance policies and controls as well as general administration, and performance improvement. The role will also provide operations management with interpretive and predictive financial information to make business performance assessments and capital investment decisions through the use of sensitivity, statistical and cause-and-effect analysis across all Chevron operated assets, namely Gorgon, Wheatstone and WA Oil.
Specifically, some of the role’s duties and responsibilities include:
Partner with Operations teams to drive competitive performance and enhance financial fluency
Provide financial, accounting and costing expertise and advice to Operations stakeholders
Work across the Wheatstone and BWI teams, on the execution and ongoing enhancement of Operations finance processes, stakeholder reporting and other deliverables to ensure they are simple, fit for purpose and results-driven
Analyse expenditure data, cost drivers and trends, to prepare and present insightful reports and analysis
Manage the Operations forecasting process, tools and deliverables
Assist in the preparation of Operations Work Program & Budgets, and load final approved budgets into JDE
Assist in the preparation of presentation material for Operations teams and Joint Venture Participant meetings
Prepare analysis and responses to Joint Venture Participant queries
Support NOJV audit information requests and findings resolution
Assist with collation of benchmarking information and delivery of insights
Seek opportunities to eliminate, standardise, simplify, and automate work scopes including offshoring and utilisation of digital tools
about you
At Chevron Australia, we believe humanity can solve any challenge – including meeting the world’s energy needs of today, while advancing a cleaner energy tomorrow.
We know our greatest resource is the ingenuity, creativity, and innovation of our people. Applications from motivated, talented individuals with a keen interest in the energy industry and the value of health at work are encouraged.
To be considered for the role, the successful applicant needs to have:
Commerce or Accounting degree or similar.
Partially or newly qualified accountant or similar.
Interested in working collaboratively across Finance and Operations teams and building knowledge and capability in LNG Operations and across the LNG business, taking a one team approach
Ability to effectively interact with Finance and non-Finance stakeholders both verbally and in written form.
Ability to analyze data and provide insightful analysis relating financial results to operational events embracing a digital mindset and telling the story behind the numbers
Willing to challenge the status quo and seek out opportunities to continuously improve processes and deliverables.
Ability to work independently and build strong working relationships with a variety of stakeholders
Demonstrated commitment to Chevron’s values of integrity, partnership and trust.
what we can offer you
Everything we do at Chevron is guided by our values and our commitment to
The Chevron Way
. At the heart of The Chevron Way is our vision to be the global energy company most admired for its people, partnership, and performance.
Participate in world-leading energy projects, advance your professional development and expand your career within an inclusive, collaborative and high-performing workplace.
Here are just some of the benefits a career at Chevron provides:
A commitment to supporting work-life balance with flexible working arrangements, optional hybrid working model including at home and in-office working, and – where applicable – a compressed working week (nine-day fortnight)
A competitive remuneration package, including bonus scheme and Recognition and Awards program
Health and wellness offerings including gap-free GP services, fitness classes, gym access and mental health support
diversity & inclusion
Chevron Australia values inclusivity and promotes a workplace that actively seeks to welcome contributions from all people. We actively encourage people of all abilities, genders, Aboriginal and Torres Strait Islanders, diverse cultures and backgrounds, LGBTIQ+ identities, and all age groups to apply. To be a part of our success, apply now.
how to apply
Applications close at 11:59pm AWST on 31st May 2022.

Click APPLY to submit your application.
Chevron participates in E-Verify in certain locations as required by law."
5,"Join a successful, mature and growing business
Work as part of broader team to deliver client outcomes
Contract Position for 4 Months

About BSA

The BSA Group is a comprehensive technical services contracting company that has successful long-term relationships with our clients, founded upon a commitment to provide innovative, flexible solutions and a culture that promotes continuous improvement. We comprise of two divisions, BSA|APS (Advanced Property Solutions) and BSA|CUI (Communications & Utility Infrastructure).

BSA|APS designs, constructs and maintains the systems that make Australia’s buildings efficient, safe and comfortable. BSA|CUI is a national provider of strategic advice, design, implementation, operations and maintenance services, specializing in telecommunications networks and technologies.

We are a people business and an equal opportunity employer - we support and recognize the importance of a workplace culture that values diversity and inclusion. Proudly, our executive leadership team comprises of almost half female employees.

About the Role

We are looking for enthusiastic people to join our BSA|CUI finance team in the capacity of Claims Data Analyst, based in our Lidcombe office. Reporting to the Accounts Team Manager, the key purpose pf this role is to analyze billing, disputes, providing payment schedules and support with data extraction queries.

Key Responsibilities include:


Producing payment schedule reports for the leadership team
Analyze data and summaries findings in order to produce payment schedules reports including outstanding queries and disputed payments
Having strong technical and analytical skills, business intelligence, and a working knowledge of the billing and recovery management.
Perform revenue conciliation and calculate the applicable recovery
Being able to effectively communicate with internal and external stakeholders
Maintaining payment schedule register and liaise with relevant team member to finalize the account
Any other tasks as directed by the Management
Uphold BSA Values and Behaviors and take reasonable care to prevent injuries to self and others.
To be a part of the team, we require:

Tertiary qualifications in a relevant area with a minimum 3 years’ experience in working within billing, commercial and finance area.
Advanced Excel skills with high attention to detail and organizational skills
Intermediate proficiency in SQL
Strong analytical and reporting skills
Demonstrated ability to contribute to analytical solutions
Providing support to Management, Internal and External stakeholders
Excellent attendance/punctuality
Solution focused
Previous experience in telecommunication industry would be an advantage but not mandatory.
Why work with us:

A competitive salary package
Flexible work arrangements
Reward and Recognition program
Health & Wellbeing program
Learning and Development opportunities
Join us and be a part of a progressive culture that is enjoyable, flexible and results-driven.

If you believe you have the capabilities to succeed in this role, please do not hesitate to click “Apply for this job” and attach your cover letter and resume.

Please note, COVID-19 vaccination is a condition of employment for this position and the successful candidate will be subject to mandatory pre-employment checks including a Police Check. Should your application be unsuccessful, we will keep your details on file in case there are suitable vacancies in the future. If you do not wish for your details to be retained, please let us know by emailing Recruitment@BSA.com.au"
6,"Vic, Clayton
Human Resources
11088BR
About us:
Lockheed Martin is a dynamic, growing, and energetic organisation offering stimulating, challenging work at the forefront of technology. Lockheed Martin is a leader in Australia’s National Security, and our collaboration with Australian industry spans the Aeronautics, Maritime, Surveillance and Defence domains. We employ approximately 100,000 staff worldwide, and over 1,000 staff in Australia across multiple locations.

Your responsibilities will include:
As a Compensation Analyst you will support the Compensation Lead and Head of Rewards for Asia Pacific in the delivery of compensation programs and initiatives. T his role will be offered as a 12-month fixed term opportunity, day-to-day duties will include:
Supporting the delivery of annual compensation activities including Pay Reviews, Short Term Incentives, Early Careers and survey and WGEA submissions.
Contributing to ad hoc APAC Reward activities with data, analysis and insights including support to union negotiations.
Managing the internal ANZ Employee Awards annual event.
Providing compensation guidance to HR and key stakeholders across the business.
Preparing and maintaining internal peer and salary data and ad hoc reporting.
About you:
Tertiary qualifications in HR or a business-related discipline, and/or proven experience in a similar role.
Comprehensive numerical, communication and stakeholder management skills.
MS Excel proficiency, an analytical mindset and logical thinking.
Excellent attention to detail with ability to identify and correct errors and anomalies.

Highly desirable/advantageous:
Experience with job mapping and survey submissions.
Exposure to Asia Pacific.
Special Requirements:
Applicants are required to be Australian Citizens and be eligible to hold and maintain a CoA Baseline security clearance. This will depend on location, will be discussed at interview stage.

Employment may be contingent on the satisfactory result of criminal and/or other background screens, which require the collection and transfer of personal information.
What we offer you:
At Lockheed Martin we value our team and the contribution they make every day. We offer rewarding career pathways working on interesting projects that make a difference, continuous professional development and the opportunity to learn from a diverse team of talented individuals.

In return we offer:

Competitive Remuneration.
Training and development will be a big aspect of this position.
Options for genuine work/life flexibility – 8 or 9 day fortnight.
Access to our wellbeing and benefits program including retail discounts, health and wellbeing initiatives and an Employee Assistance Program
Salary packaging for car leasing.


Equal Opportunity Statement
Lockheed Martin supports Equal Employment Opportunity and Diversity in the workplace by creating a place of employment that is, harassment free, diverse, fair, ethical, inclusive, and values the contribution of all its employees. Diversity and inclusion are the foundation of our culture and reflect our values of doing what’s right, respecting others and performing with excellence. By leveraging our employees’ unique talents and experiences, we will deliver innovative, affordable solutions and unparalleled customer value.
Vacancy Country
Australia
Vacancy Type
Fixed Term
Employee Type
Full Time
Job Expires
16/06/2022"
7,"Full-time, continuing position with UniSA Business
Based in Adelaide, the most liveable city in Australia and the World’s 3rd most liveable city (EIU 2021)
Commencement Salary $148,600 per annum, plus 17% superannuation



The University of South Australia (UniSA) is Australia’s university of enterprise and is recognised as one of Australia’s leading research and teaching universities in Business and Economics. UniSA Business prepares students for global careers, creating leaders for change whose skills and knowledge shape business, industry and policy. Our research programs are inspired by the contemporary challenges facing Australia and its region, and we share our expertise in modern business practice with partners locally and worldwide.

About the Role

The Associate Professor in Accounting (Data Analytics) is responsible for the leadership, development, delivery and coordination of courses within an area of the Academic Unit’s undergraduate and postgraduate programs. The appointee will also actively contribute to the Academic Unit’s research agenda, ideally with a focus on the application of data analytics in the discipline. Specific responsibilities include:



Provide academic leadership to support the Academic Unit’s teaching and learning initiatives, especially with on-going development of courses
Conduct nationally impactful research and build the research capacity and reputation of UniSA Business, contributing to its international reputation
Attract external funding that includes competitive grant schemes with demonstrated success through national funding councils
Contribute to the leadership of the Academic Unit through mentoring other academic team members and participation in Academic Unit planning and strategic initiatives

Essential Skills and Experience



Relevant doctoral degree with advanced foundational discipline-based research, together with a nationally recognised record of achievement in scholarship and learning, especially as it relates to data analytics in accounting or related fields
Current and relevant knowledge of developments in the discipline informed by continuing scholarship and/or continuing industry engagement
Excellent ability and experience to undertake high quality teaching activities that reflect contemporary pedagogical, student and professional/industry needs and standards
Success establishing research interactions and developing partnerships between academia, government, industry, the community and the profession
Highly developed interpersonal skills and the ability and credibility to communicate with impact

Benefits and Culture

At UniSA you’ll enjoy a dynamic and agile culture where colleagues thrive on collaboration and breaking new ground. A competitive remuneration package, generous superannuation contributions, relocation support and a range of other benefits are available to ensure you enjoy a healthy work/life balance and enviable lifestyle working and living in Adelaide.

How to Apply

For a copy of the position description, further information and to apply visit Working at UniSA. The online application form will list the specific selection criteria that you need to address. Please address your cover letter to Georgie Hart, Recruitment Consultant. For further information confidential enquiries are welcome to Georgie on +618 8302 1700 or by email to recruitment@unisa.edu.au using job reference number 4072.

Applications close: 11.30pm Monday 30 May 2022

#LI-DNI"
8,"Assignment with Federal Government
Location : Canberra
12 months Contract + 12 months extension
About the Organisation
A large federal government department that develops and implements policies and programs to ensure Australia’s industries remain competitive, profitable, and sustainable.

About the role
You will be part of a fast moving; complex area working collaboratively with Analytics Growth section and engage with business experts to deliver data and analytics solutions that improve decision making across the department’s diverse and interesting portfolio. This is a 12-month assignment commencing in first week of July 2022 located in Canberra.

Responsibilities include:

Ability to organise, cleaning data into usable formats and maintain a high integrity of data.
Working in multi-disciplinary teams to deliver data and analytics projects using Agile approaches.
Working with business to understand data requirements, issues and find answers to business questions.
Organising data into usable formats - Assessing data quality and cleaning data.
Delivering robust, user-focused data insights using Power BI, and other BI tools .
Skills and Experience
Applicants with an eligibility to obtain baseline security clearance will be considered for this position.

Experience working within ICT and business systems teams to define/confirm requirements.
Strong data collation, management and analytics skills including an ability to interrogate data sets and identify and synthesise patterns and trends and communicates these in plain English.
Strong communication skills to engage with the business to understand data requirements and issues.
Relevant tertiary qualifications or comparable industry experience.
Demonstrate Statistical analysis, Azure solutions for data analytics, Azure Devops and Power BI skills are desirable
How to apply
If this role is of interest to you and you would like to know more then please don’t hesitate to contact Aureen Vaz | avaz@dfp.com.au | 02 6162 7335.

DFP welcomes applications from Aboriginal and Torres Strait Islander people, people with diverse cultural and linguistic backgrounds and people with disability. In addition, DFP will provide reasonable adjustments for individuals with disability throughout the recruitment process. If you identify as a person with disability and require adjustments to the application, recruitment, selection and/or assessment process, please advise via adjustments@dfp.com.au or 1300 337 000 and indicate your preferred method of communication (email, phone, text) so we can keep in touch and meet your accessibility needs.

Note: You may be required to provide evidence of your COVID-19 vaccination status.
JO-2205-481536"
9,"Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive.

At Xero, our purpose is to make life better for people in small business, their advisors, and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools, information and connections. Because when they succeed they make a difference, and when millions of small businesses are making a difference, the world is a more beautiful place.

The best teams deserve the best, so whether your preference is working from a #beautiful environment in our brand new Hawthorn HQ office (barista made coffee included) or comfortably at home; Xero is here to support and encourage you through a range of benefits. We love rewarding our people. You’ll feel at home here. It's time to start loving Mondays again!

About the role:

As a Senior Business Analyst within our History & Notes team, you will support product leaders and development teams to elicit, analyse, communicate and validate requirements for changes to Xero’s global audit trail. You’ll join our cross functional team of engineers, product designers and product managers to improve the global audit trail that scales across Xero’s small business product suite.

You will build a deep understanding of our customer and business problems through data driven & technical analysis, translate these insights back to the team, organise work to be done, and contribute towards solutions that solve problems to realise customer and business value.

You’ll do this in a variety of operating modes: early stage research, current state analysis & mapping, collaborating with stakeholders, analysing and synthesising data, and defining requirements.

What you'll do:
Bring your natural curiosity, detailed approach and customer-oriented thinking to everything you do.
Build an understanding of how the product fits into Xero's strategy, objectives and future growth aspirations
Navigate and build networks across Xero to analyse & communicate how the global audit trail product fits together with the wider Xero product suite, considering architectural, technical & data lenses
Perform detailed business analysis to translate the customer & business problems into actionable user stories for the team
Work closely with technical and business stakeholders across Xero to gather and document requirements as features, epics & tasks including dependencies
Work closely with architects and tech leads to understand detailed system design and translate it into stories
Perform analysis (scenario, compliance, customer, data, gap, change, etc) in order to articulate business needs and solution requirements
Produce As Is and To Be Process Maps
Develop process models, data models, business rules, workflows, reporting and other required outputs
Support the Product Manager to manage the backlog to ensure it follows the product roadmap and strategy
Contribute to refining, sizing and estimating the product backlog
Provide support between stages of product development to ensure continuity and cohesiveness, and alignment of product to strategy and roadmap
As a proactive self-starter you’ll identify things that need attention and ensure the development and product leadership team are aware of them ahead of time.
Enjoy investigating and learning how things work; finding answers to help solve customer and business problems and figuring out where to find them
Develop positive and constructive relationships with your wider cross-functional team; including Product, Engineers, Designers, Delivery Coaches, Architects, Data, CX, and external customers
Maintain a strong understanding of the product roadmap for the teams you work with and how they align to Xero’s strategic vision, direction and priorities
Contribute to a fun working environment, living Xero’s values, with a customer-centric focus to achieve great, strategically-aligned outcomes for Xero
How you'll measure success:
You deliver quality insights and recommendations to support product decision making
You work as a liaison among stakeholders in order to elicit, analyse, communicate and validate requirements for changes to the product
You define stories and acceptance criteria that will lead to quality, valuable products being developed, meeting the needs of our customers and aligning to business goals/OKRs
You support activities which lead to clear actions for the team to progress with
The development teams and product stakeholders you work with will hold you in high regard and want to work with you. They value the contribution you make and how you make it.
You communicate clearly and effectively to the development teams and product stakeholders, so that everyone understands the value of each user story that is being delivered
The product backlog is up to date ready for prioritisation, aligned to goals and vision
You are contributing to team OKRs
There are no surprises for any stakeholders because you’ve been proactive in identifying and raising things to be aware of well ahead of time
You’ll be actively working on your personal development plan to either be an even more awesome Business Analyst, or the next steps in your career journey
What you'll bring with you:
Extensive experience as a business analysis within a reasonably complex and technical setting, (preferably SaaS, Fintech or accounting)
Strong analytical skills and evidence-based decision making
Ability to use multiple analysis techniques to interrogate evidence to accurately identify and define problems customer & business problems
Ability to build collaborative relationships at a team level, across different functions in a global environment and influence peers and other stakeholders
Fast learner, detail-oriented who enjoys fast-paced work
Applies product vision and strategy in their own decision making
Integrates data from multiple sources to deliver new insights to the team
An appreciation of data & data flows, formed through problem solving in a data-centric context
Hands on experience with agile processes and principles
Why Xero?

At Xero we support many types of flexible working arrangements that allow you to balance your work, your life and your passions. We offer a great remuneration package including shares plus a range of leave options to suit your well-being. Our work environment encourages continuous improvement and career development and you’ll get to work with the latest technology.

Our collaborative and inclusive culture is one we’re immensely proud of. We know that a diverse workforce is a strength that enables businesses, including ours, to better understand and serve customers, attract top talent and innovate successfully. We are a member of Pride in Diversity, in recognition of our inclusive workplace. So, from the moment you step through our doors, you’ll feel welcome and supported to do the best work of your life.

Xero strongly encourages employees and contractors to be vaccinated against COVID-19 in order to work from a Xero office, or engage in any face-to-face Xero business. Xero will work with anyone who is not vaccinated, or prefers not to disclose their vaccination status, to determine what reasonable accommodations can be provided to ensure their role can be performed safely."
