,0
0,"Calling all SAS Data Analysts/Developers!

We have a long-term contracting position available with one of our Federal Government Clients. Do you have experience as an SAS Analyst or Developer? Because we have the job for you!

Duties

Data extraction and analysis using Teradata, DB2, SQL and SAS (SAS Enterprise Guide, Base SAS or SAS Studio)
Producing quality output in a timely manner
Building interactive reports and dashboards using SAS Visual Analytics (Viya)
Be able to apply judgement and critical thinking skills to problem solve

Skills and Experience

SAS,
SAS Visual Analytics (Viya) or similar data and visualisation technologies
SQL
Teradata
DB2

How to Apply
Does this role sound perfect for you? If so, to register your interest in this role, please either contact Peter Ding or the Compas Team on (02) 6230 0233 and send through your CV by following the link below.

About Compas:
Compas Pty Ltd is a Canberra based wholly Australian owned, Recruitment and Services company that has been operating since 1987. We specialise in the provision of permanent, contract and temporary recruitment services, as well as specialised Consulting assignments.

YOUR APPLICATION WILL BE TREATED WITH THE STRICTEST CONFIDENCE
Due to the nature of this environment, Australian Citizens with the ability to obtain a Government Security Clearance need only apply!
JO-2205-11481"
1,"GoTech Solutions (GoSol) is an established business in IT Consulting and Staffing solutions. We are seeking multiple full time / contract Candidates to be based in Sydney, Perth and Melbourne for our clients. Candidates are required to have experience in development and testing, and the ability to manage various teams including technical and functional offshore consulting teams for smooth implementation of changes and roll-outs.
These roles are for multiple projects running concurrently in Sydney, Perth and Melbourne. Salary offered will be proportionate to the skills and experience of the candidate and city.
Information Security Risk Analyst
InformationSecurity
Security first
culture
Framework
Policy,
Process and
guideline
review
Control
testing
Managed
Services
Job Type: Full-time
Salary: $110,000.00 – $140,000.00 per year
Schedule:
8 hour shift
Application Question(s):
Salary Expectation
Notice Period
Visa Status/ Working Rights
Personal Email
Experience:
Information Security Risk Analyst: 5 years (Preferred)"
2,"Macquarie’s Financial Management Group is recruiting Data Discovery Analysts to help transform our data capabilities across the Financial Management Group and Macquarie Group. This is an excellent opportunity to join a growing data centre of excellence with a strong mandate to drive data-related change to enhance data capabilities, source high quality data across the organisation, and optimise reporting, modelling and analytics capabilities.
We work closely with Finance, Tax, Treasury and Risk functions to help define data requirements, source data from across Macquarie, establish data management standards, and partner with technology teams to implement solutions for a range of use cases.
Our work touches all of Macquarie’s business and support groups and your stakeholders include senior leaders and product owners in business and technology roles.
You will partner with Group Treasury (Liquidity Team) to deliver great data outcomes. As part of the project, you will work closely with members of group treasury, business teams and data teams to understand requirements of new data and remediation of data quality for existing data for liquidity reporting.
Within the team, you will apply a range of techniques to capture business data requirements and use your excellent analysis skills to comprehend data flows, understand data entity relationships and explain how data fits into system and business context to drive business outcomes.
Your effective communication ability and pro-activeness to deliver excellent data outcomes will ensure your success in this role. Success also includes using our market-leading tools to make existing data assets more discoverable across FMG, improving our ability to plan and manage the delivery of data change.
Supported by an established team of data business analysts the Data Discovery team BAs have detailed knowledge of our businesses and data assets and are well supported by aligned functions including Operations & Data Quality, Data Modelling, Business Intelligence, Data Architecture and Projects and Change – all aligned with our Data strategy. In this role you will have the opportunity to work closely with our data engineers, developers and solution designers.
Key responsibilities include:
partner with business and technology teams to analyse, define and deliver data solutions for Treasury.
work with Finance and business stakeholders to define and capture data requirements for project initiatives, including new regulatory reporting requirements, analysis and process improvement
engage and collaborate with business units (data producers), reporting teams (data consumers), technology and other internal stakeholders to assess impact and propose data sourcing solutions
liaise with senior management for approval on data sourcing solutions
identify opportunities for automation and continuous improvement
adhere to Data under Governance and Controls by working with stakeholders to define data definitions, business rules and data quality rules, critical data element identification, data lineage and risk and control assessment for regulatory system platforms and processes
impact assessments for new products and BAU changes, liaising with Data, Technology and Platform teams
championing the use of enterprise data management and governance frameworks as part of Data Discovery
as a senior member of the team, helping to mentor and build Data Discovery capabilities within the team.
You will need to bring the following experience and skills:
7 or more years hands on experience in business analysis, requirements gathering and data analysis
thorough appreciation of how data flows through systems, relationships between data, and data granularity
ability to break down functional requirements into data requirements
strong analytical (critical thinking), problem solving, written and communication skills
strong stakeholder management skills
attention to detail and the ability to prioritise responsibilities in a changing environment
proven ability to take on ownership and demonstrate accountability for results, balanced by sound professional judgement
ability to work both collaboratively and independently
strong skills in data requirement delivery process in a business context (financial services experience is a bonus, however not a must for this role) in terms data definition, data lineage and analysis of data quality measurement aspects
strong knowledge of SQL, data warehousing principles and analysis methods
understanding of data architecture and data modelling principles
relentless focus on collaborative, continuous improvement as high demands and challenges face you and the team, and be able to make and/or guide decisions when the path forward is not clear
About the Financial Management Group
The Financial Management Group provides financial, tax and treasury services to all areas of Macquarie. The group is focused on providing strategic analysis and advice to Macquarie's businesses and senior management, managing Macquarie's funding, liquidity and capital position, ensuring Macquarie continues to meet regulatory and compliance obligations and managing Macquarie's corporate affairs.
Our commitment to Diversity, Equity and Inclusion
The diversity of our people is one of our greatest strengths. An inclusive and equitable environment enables us to deliver innovative and sustainable outcomes for our people, clients, shareholders and communities. From day one, you'll be encouraged to be yourself and supported to perform at your best. If our purpose of ‘empowering people to innovate and invest for a better future’ is as inspiring to you as it is to us, please apply. With the right technology, support and resources, our people can work in a range of flexible ways.
We are committed to providing a working environment that embraces and values diversity, equity and inclusion. We encourage candidates to speak with a member of our recruitment team if you require adjustments to our recruitment process to support you, and the type of working arrangements that would help you thrive.


About Macquarie
A career at Macquarie means you’ll have the opportunity to develop and utilise new skills, explore interesting fields and do challenging work that will impact the lives of people around the world—whether it’s accelerating the green energy transition, helping sustain global food supplies, financing social housing projects or investing in essential infrastructure. At Macquarie, we’re empowering people to innovate and invest for a better future.
Our size and international presence means your work can take you anywhere—across business groups, disciplines, sectors and borders. With 17,000+ employees and offices in 33 markets around the world, we’re a truly global organisation.
You’ll be supported by a diverse team where the unique perspectives, ideas and experiences that all of our people bring are valued. You’ll be empowered to address unmet needs in our communities whilst advising and investing alongside our clients and partners. Working with us, you’ll have the opportunity to make a difference.
Macquarie is a global financial group providing clients with asset management, retail and business banking, wealth management, leasing and asset financing, market access, commodity trading, renewables development, specialist advisory, capital raising and principal investment.


Job no: FMG-964846
Work type: Maximum term
Location: Sydney
Category: Mid-senior, Mid-level, Data & Analytics
Group: Financial Management Group
Division: Group Treasury
Recruiter: Verity Morison
Opening Date: 05/5/2022"
3,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The opportunity

EY DnA is the data and advanced analytics capability within EY Asia-Pacific, with over 500 specialist employees working across multiple industry sectors.
We’re looking for people with strong Data related Solutioning and Consulting experience. You will need passion for a career in data analytics, where you will provide a consultative service on a variety of data driven decision making projects within a fast-paced consulting environment.

This role is open to applicants across Adelaide, Melbourne, Brisbane & Sydney.

As a Data Architect, you will support our clients in defining and implementing a data journey aligned with their strategic objectives.


Some of your responsibilities will include:
Design, develop and implement data collection, transformation, and data integration solution to create, coordinate and deploy data and analytics solutions
Create and present the solution design through a solution design document and finally estimate for complexity, effort and costs
Collaborate with solution design and business requirements teams to identify data requirements and influence project artefacts
Demonstrate technical expertise in modern AI, analytics, big data and associated technologies, cloud platforms, data quality, governance and architecture
Provide technical guidance as SME and hands on delivery team member across multiple clients and engagements
Lead technology consulting engagements, solution workshops and due diligence

Skills and attributes for success
Relevant Data Experience in a similar role with responsibilities as listed above.
Solid experience on Enterprise Data Warehouse integration and reporting developing modern data platform solutions, data governance, architecture frameworks and processes.
On hands experience in Big Data technologies and Apache ecosystem technologies such as Spark, Kafka, Hive, and have experience building end to end data pipelines using on-premise or cloud-based data platforms.
Technical leadership and the ability to work with a wider group of architects, application teams and business teams to define and socialise architectural concepts and approaches

Ideally, you’ll also have
Proven track record in either consulting in a date/information modelling environment in a big 4 plus
Certification in one of the Cloud Vendors (AWS, Microsoft, Google)- Preferred.
Experience in a delivery role on Business Intelligence, Data Warehousing, Big Data or analytics projects

What we offer
Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way.
Continuous learning: personalised career development including coaching, experiences and formal learning so you’ll develop the mindset and skills you’ll need to thrive in the future.
Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs.

At EY, you’ll be rewarded and recognised based on your performance and our comprehensive benefits package can be tailored to your individual needs.
We hold a collective commitment to foster an environment where all differences are valued and respected, practices are equitable and everyone experiences a sense of belonging. If you require any adjustments to the recruitment process in order to equitably participate, we encourage you to advise us at the time of application via contactrecruitment@au.ey.com.

We understand the importance of social distancing at this time so our recruitment and onboarding process may be managed virtually so we can continue to prioritise the safety and wellbeing of EY people, clients, guests and the broader public.
The preferred applicant will be subject to employment screening by EY or by their external third-party provider. Regarding this role, the minimum salary is $150,000 including 10% superannuation.

The exceptional EY experience. It’s yours to build.

EY | Building a better working world

EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.

Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.

Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today."
4,"Engage business and technology teams to deliver best in class.
Customer Lifecycle Management capabilities.
Work collaboratively with the various delivery practice groups.
Provide innovative solutions that meet the needs of our business.
Perform data gathering and develop business, technical and non-functional requirements.
Converts business needs into functional design using knowledge of system capabilities, knowledge and architecture Prepare technical documents such as data mapping and functional specifications.
Prepare process maps Assist in assessing and documenting the current state of business to identify and recommend improvements and verification and validation of resulting requirements
Job Type: Full-time
Salary: $97,054.00 – $159,719.00 per year
Schedule:
8 hour shift
Work Authorisation:
Australia (Preferred)"
5,"JOB REF:KH485752
Utilise your analytical skills to support, optimise and continually improve business operations.
Gain valuable commercial and operational experience to support your career development with WesCEF.
Based in Murdoch, permanent full time role with flexible working arrangements available, such as working from home and varied start/finish times.
Kleenheat has been providing energy solutions to homes and businesses across Western Australia and the Northern Territory for more than 60 years.
We’re committed to delivering energy for today’s customers and tomorrow’s opportunities, with a focus on safe and reliable products and helpful customer service.
We pride ourselves on our values of safety, accountability, integrity, collaboration and customer focus – with an understanding that our success is underpinned by our people.
About the role
We’re on the lookout for an innovative and driven Commercial Analyst to join the Commercial Operations and Pricing function within our Natural Gas and Electricity (NG&E) team.
The Commercial Operations and Pricing function is responsible for the day-to-day operations of Kleenheat’s Electricity Retail business, governing and maintaining the NG&E pricing process, and monitoring profitability. Reporting to the Commercial Lead, you’ll be responsible for providing analytical, reporting and operational support to the NG&E business. The role provides the right candidate the opportunity to be at the centre of unprecedented changes in the energy sector, focused on the understanding of economic, technological and regulatory factors, that will shape the coming decades. An important part of this role is stakeholder engagement, so in addition to your analytical capability you’ll be comfortable supporting internal and external stakeholders.
Key responsibilities include:
Supporting the team to ensure the day-to-day electricity retail function operates smoothly, including maintaining and supporting the monthly electricity billing process.
Assisting with the preparation, administration and submission of retail market obligations for the NG&E business.
Review and identify emerging trends in regulatory decisions and external economic factors to drive commercial decisions.
Prepare internal and external correspondence on key policy and economic issues.
Integrate changes into pricing models and assumptions, as well as actively contributing to the continual improvement of the overall commercial process.
Working closely with the NG&E business to provide analytical support for monitoring of portfolio profitability.
Working with internal and external stakeholders to provide support on pricing and operational matters.
Providing commercial support for Kleenheat’s Regulatory function.
Skills & experience:
We value all types of experiences here, so if you don’t meet all the skills and experience, we’d still love to hear from you. Some of the skills and experience we are looking for include:
Prior experience in an analytical, commercial, technical or engineering role.
Ability to collaborate across multiple teams and stakeholders.
High attention to detail, and ability to meet demanding deadlines.
Sound commercial decision making capability with a strong customer focus.
Excellent verbal and written communication skills.
Strong research and data analysis skills.
Highly proficient in Microsoft Excel, Word and PowerPoint.
Experience working in a regulated utility, government policy or regulatory environment in the energy sector, including renewable or emerging energy (highly desirable but not essential).
Joining Kleenheat means you’ll have opportunities to grow your career in a collaborative environment where your voice is heard and your contribution valued.
Please note you are required to be fully vaccinated against COVID-19 in order to commence in this role.
We value our employees by offering:
Competitive remuneration including allocation of Wesfarmers shares and participation in our annual incentive plan.
Employer parental leave payment up to 16 weeks including superannuation on unpaid parental leave.
Ongoing professional development and career opportunities across our diverse businesses and the Wesfarmers Group.
Salary sacrifice opportunities, including novated lease vehicle packaging.
Access to employee benefits across Wesfarmers including staff discounts at Bunnings, Kleenheat, Kmart, Target and Officeworks and Wesfarmers Arts sponsored events.
We welcome people with different skills, and life experiences and encourage individuals from diverse backgrounds to apply.
We pride ourselves on developing and supporting people and recognise the importance of flexibility. When you apply, please let us know if you are seeking a flexible employment arrangement.
Applications close Monday, 30 May at 5pm AWST."
6,"Data management and Analytics Team, within the Identity and Cyber Security Division, is responsible for data, metrics and reporting across User Access Management and Privilege Access Management. We are seeking a Senior Data/Business Analyst to join the team to help with the delivery of our new strategic Central Data Hub reporting platform.

As a Data Analyst, you will be working with diverse stakeholders representing technology, operational risk and Macquarie business operations to define and document data and reporting requirements for the new reporting platform. You will perform analysis of data to ensure appropriate reporting and alignment in IAM Governance and Operational Reports. You will also be responsible identifying process gaps and for opportunities for enhancements of processes and controls.


Your key responsibilities in this role will be:
design and build of reports and dashboards using PowerBI application
analysis of data behind existing reports and dashboards
reviewing, identifying, and sourcing data for new or existing reports
ensure quality, completeness, and accuracy of data in reports and dashboard
perform analysis of data incidents and issues
respond to stakeholder queries related to data
generate granular data details for divisions to action
spot data trends to interpret impact and results
assist users to identify relevant data for remediation and resolution
identifying data issues and work with appropriate resources to resolve them
support monitoring of control effectiveness
support resolution of data related Service Desk tickets
give guidance and support and to other Data Analysts in the team


Our ideal candidate will:
Be curious and have a learning mindset: understanding “what” we need to do, but to be self-driven to understand “why” we are doing it, especially in the technical space.
Value our customers: Our team continues to deliver functionality for our customers to use, so responding to any customer concerns or feedback helps us continually improve what we offer, and helps build better relationships with them.
Accountability: Be able to own task you are given through to completion. Asking questions and raising concerns where needed.
Strong communicator: Clear and complete communication is crucial for this role. Telling the whole story and pre-empting any questions.


To be successful in this role, you will have the following skills and experience:
Experience in Power BI, and SQL
three or more years of experience in Senior technical business analyst or Senior data analyst roles
understanding of IAM domains such as Access Management, Identity Life cycle Management, Privileged Access Management, Reporting, and analytics
proven ability to communicate problems and solutions effectively
About the Corporate Operations Group
The Corporate Operations Group brings together specialist support services in Digital Transformation & Data, Technology, Operations, Human Resources, Business Services, Business Improvement & Strategy, and the Macquarie Group Foundation. We deliver service excellence to ensure Macquarie is open for business, deliver on transformational change, invest in our people and have deep relationships with our customers.
Our commitment to Diversity, Equity and Inclusion
The diversity of our people is one of our greatest strengths. An inclusive and equitable environment enables us to deliver innovative and sustainable outcomes for our people, clients, shareholders and communities. From day one, you'll be encouraged to be yourself and supported to perform at your best. If our purpose of ‘empowering people to innovate and invest for a better future’ is as inspiring to you as it is to us, please apply. With the right technology, support and resources, our people can work in a range of flexible ways.
We are committed to providing a working environment that embraces and values diversity, equity and inclusion. We encourage candidates to speak with a member of our recruitment team if you require adjustments to our recruitment process to support you, and the type of working arrangements that would help you thrive.


About Macquarie
A career at Macquarie means you’ll have the opportunity to develop and utilise new skills, explore interesting fields and do challenging work that will impact the lives of people around the world—whether it’s accelerating the green energy transition, helping sustain global food supplies, financing social housing projects or investing in essential infrastructure. At Macquarie, we’re empowering people to innovate and invest for a better future.
Our size and international presence means your work can take you anywhere—across business groups, disciplines, sectors and borders. With 17,000+ employees and offices in 33 markets around the world, we’re a truly global organisation.
You’ll be supported by a diverse team where the unique perspectives, ideas and experiences that all of our people bring are valued. You’ll be empowered to address unmet needs in our communities whilst advising and investing alongside our clients and partners. Working with us, you’ll have the opportunity to make a difference.
Macquarie is a global financial group providing clients with asset management, retail and business banking, wealth management, leasing and asset financing, market access, commodity trading, renewables development, specialist advisory, capital raising and principal investment.


Job no: COG-964349
Work type: Agency Worker
Location: Sydney
Category: Technology
Group: Corporate Operations Group
Division: Technology
Recruiter: Alex Clark
Opening Date: 26/4/2022"
7,"Mirvac is an Australian property group with a clearly defined purpose to ‘reimagine urban life’. For 50 years, we’ve dedicated ourselves to shaping Australia’s urban landscape. Our evolution has been significant, growing from a small joint venture to a thriving ASX-listed property group that leads the way in sustainability, innovation, safety and placemaking.

At Mirvac, we know that it’s our people, their passion and expertise and the exceptional experiences we create for our audience, that defines us.

Our opportunity

We have an opportunity for a Business Analyst (BI/Salesforce/Data) to join our Integrated Investment Portfolio business who creates, owns and manage extraordinary retail, office, industrial, build-to-rent residential mixed-use places. Our customer strategy is to deliver an experience that is the envy of the market, powers customer success and creates measurable value.

You will be a key contributor to delivering projects and outcomes aligned to our customer analytics and insights strategy. Working as part of a small team and working closely with our business, Customer, Data and Digital delivery teams you will execute and deliver projects.

Your key responsibilities will include and are not limited to:

Act as a product owner, understand business and customer desired outcomes
Define and document customer journeys and process aligned to desired outcomes
Document business requirements as user stories for our digital and data teams to deliver
Design products such as voice of customer surveys, dashboards, and CRM screens
Use business tools to build surveys in GetFeedback
Plan and execute user acceptance testing
Assess change impact and facilitate business transition through comms, training, etc.
Develop and manage relationships with stakeholders to influence and gain support for projects and initiatives.
Ensure that periodic voice of customer programs to capture feedback from customers
Provide reporting to board, executives and other stakeholders on various customer metrics (NPS, Complaints, etc) extracting, calculating, and providing insight
Support effective governance over our customer data and processes
Uplift customer data/analytics fluency in the business

Your point of difference
You will be qualified in Business, Project Management, Technology, Data or equivalent with solid experience in customer insights and data or a business analyst role; including transformation and innovation experience.

You will have a high proficiency and understanding of data and analytics platforms coupled with the ability to produce reports with key insights and metrics. Experience in Salesforce will be advantageous.

Exceptional stakeholder engagement and influencing skills are essential to your success.

What sets us apart?
Mirvac's team is our most valuable asset, and we invest in our people accordingly. A huge part of this is creating a positive workplace environment, where people are respected, encouraged and rewarded.

We're proud to have built a culture of inclusivity, innovation and collaboration, becoming a place where people genuinely want to work. We feel fortunate to have so many talented, purpose-driven individuals on our team and our distinctive employee benefits highlight one of the ways we show our appreciation covering Lifestyle, Wellbeing, Community and Learning & Development - and with employee engagement exceeding 90%, it seems this appreciation goes both ways.

If you are interested in being considered for this diverse, rewarding and challenging opportunity please apply online."
8,"Senior Delivery Lead - NSW Data Analytics Centre (DAC)
Play an influential role in the delivery of high-profile projects
Support a variety of outcomes across NSW Government
Working with genuinely awesome, ambitious, and collaborative people
Make a difference to the people of NSW
Great exposure to cutting edge technology


Our Mission
The NSW Data Analytics Centre’s (DAC) mission is to build world-class capabilities in whole-of-government data analytics to improve outcomes for citizens of NSW. In a world of increasing complexity and rapid change, data analytics has the potential to deliver innovation in service provisions and improve outcomes by generating new perspectives. The NSW DAC was the first of its kind in Australia, and a model now being replicated in other jurisdictions.
The Data Analytics Centre (DAC) exists to lead a whole-of-government approach in tackling some of the State’s most difficult policy challenges. Using DAC’s Data Analytics Platform, the DAC works to connect data, people and insights to build world-class capabilities in whole-of-government data analytics to improve health and well-being, safety, social, economic and environmental outcomes for the citizens of NSW.
Take a look at our website at https https://data.nsw.gov.au/nsw-data-analytics-centre to learn more about us.
About the Role
An exciting opportunity for a Senior Delivery Lead to join the NSW Data Analytic Centre’s diverse and collaborative team, engaging with various partners both internally to the Department of Customer Service (DCS) and across the NSW government sector.
As Senior Delivery Lead, you will manage and coordinate the development and implementation of agency projects to support key government initiatives such as the Premier’s Priorities. The DAC as a provider of advanced data analytics and data services capability which aid in development of data driven decision making, evidence-based policy making and service delivery. The role actively contributes to a high performing team environment, providing excellent customer service and enabling continual service improvement practices.
Key Responsibilities

Building a high performing, self-organizing (Kanban squads/scrum teams).
Lead and facilitate Agile ceremonies and provide coaching for new team members.
Identify, mitigate, and escalate issues and risk where appropriate.
Build strong relationships with customers and partners.
Manage and maintain delivery documentation and reporting.
Lead the use of data, appropriate methodologies, research, and analysis to deliver on DAC priorities.
Lead the development of high-quality data analysis and reporting.
Lead engagements with customers to collaborate on then planning of projects to enable delivery and a sound assessment of outcomes.
Contribute in helping to Identify and capitalise on opportunities to develop and maintain strategic relationships across government, industry, and the community.
Provide coaching and mentoring to other team members to achieve high levels of performance in meeting the project/unit objectives and a culture of ongoing capability development.
Contribute at a senior level to the overall management and strategic development of the business unit and perform duties as required by the Director, Data Services.


Key Skills and Experience
Relevant tertiary qualifications (technical or I.T. related).
Demonstrated currency of knowledge in the areas of agile delivery and project management.
Strong communication, presentation, and collaboration skills – Experience in ensuring that key relationships, internally and externally, are managed effectively and alignment is achieved across all teams.
Display the key behaviours of an agile mindset – Trust, Transparency and Collaboration.
Ability to dealing with a diverse range of complex matters and highly conceptual issues to recommend practical solutions, often within limited timeframes.
Translate technical and complex information into plain English in an environment of divergent stakeholder perspectives.
A general understanding of data technologies and analytical methods.


Highly Desirable
Expensive experience as Project Manager, Delivery Officer, Delivery Lead, Technical Project Management or Technical Business Analysis and or strong background in the planning and delivery of technical solutions in the I.T. space.
Senior leader, customer engagement and senior account management skills.
Strong understanding of the Agile Methodology and extensive experience in its practical application to support the delivery of large project portfolio.
Experience in relationship management with government agencies, private industry, peak industry advisory bodies, the public, committees, and other groups.


Who You Are
You have a passion for working with people and believe in the power of empowered Agile delivery teams.
You have a pragmatic approach to preaching agile methodologies.
You know how IT projects work - and you love delivering outcomes for our customers.
You're someone who is highly organised and ready to go. All the time.
You understand the challenges our customers go through to move from a project to an outcome-oriented mindset, and you’re willing to help them with it.
You're a natural at building trusting relationships in the team and with our customers.
You thrive when collaborating with others to make things happen.
You have a good sense of direction and can inspire others.
You walk and talk the live values everyday: Integrity, Accountability and Trust.
Able to manage multiple concurrent work streams.
Ability to declutter complex problems into manageable chunks.


Why the DAC and the Department of Customer Service
The Department of Customer Service (DCS) is the newest agency in the NSW Government. We are a central agency of Government, comprised of agencies and business units that deliver regulatory and other services to the people of NSW and across the NSW Government. We are committed to championing the interests and perspectives of NSW citizens to deliver better customer service outcomes.
The DAC is committed to building a culture of highly engaged and talented people, all working together in a collaborative and high-performance culture which facilitates career mobility and diversity. Our culture is underpinned by the NSW Public Sector core values of Excellence in Service, Integrity, Accountability and Trust and a clear set of expected behaviours.
How to Apply!

Your application should include a cover letter of no more than 2 pages, and an up-to-date resume of no more than five pages which clearly details your skills and experience as relevant to this role. Applicants invited for interview will be required to complete additional assessments. There are no selection criteria to be addressed.

A Talent Pool may be created for future on-going and temporary roles and is valid for a period of up to 12 months.
For enquiries regarding this position, please contact Vincent Azara on Vincent.Azara@customerservice.nsw.gov.au.
Salary grade 9/10, with the base salary for this role starting at $113,343 base plus superannuation.


Based on our current Work, Health and Safety (WHS) requirements, and in line with our Mandatory Vaccination Policy, it is a condition of engagement for a role within Service NSW/Department of Customer Service that staff be fully vaccinated against COVID-19. Successful applicants will be required to provide proof of their COVID-19 vaccination status or have an approved medical contraindication certificate. Any relevant medical circumstances impacting on the ability to obtain a COVID-19 vaccination will be considered. These requirements apply to both internal and external preferred candidates and must be completed prior to commencing in the position. If you have a medical contraindication which may prevent you from complying with this requirement, please contact kayla.hogan@customerservice.nsw.gov.au to discuss your circumstances.
Closing Date: Friday 27th May 2022 at 9:59am.
Working at Department of Customer Service
The Department of Customer Service (DCS) is a great place to work! Our values of accountability, trust, service, and integrity drive our initiatives and culture. We support innovative programs in areas as broad as digital government, consumer protection and major public works. We are an inclusive organisation that celebrates diversity and flexible work practices and believe our people are our greatest asset.
Visit our Careers site to find out what it means to work for us.
Our Commitment to Diversity, Inclusion & Flexibility
We are committed to diversity, inclusion, and new ways of working.
The Department of Customer Service serves all the people of NSW and we want to reflect that diversity in our people. We welcome and encourage applications from people with disability, Aboriginal and Torres Strait Islander peoples, culturally and linguistically diverse groups, the LGBTIQA+ community, veterans, carers, refugees, people in regional NSW and people of all ages. We strive to be an inclusive workplace where all our people can bring their authentic selves to work without judgement.
We understand that there are different ways of getting the job done and offer flexible working arrangements where and when possible.
If you do require an adjustment during the recruitment process, please notify us on your application form or contact the recruiter via kayla.hogan@customerservice.nsw.gov.au."
9,"Utilise your skills in business analysis and join a growing and specialised team, focused on delivering Financial Risk projects within our Risk Management Group. This is an exciting career opportunity that will allow you to develop expertise within the Financial Risk domain. As such, you will bring with you prior experience or interest in any of the below fields:
Regulatory Affairs and Aggregate Risk
Market Risk
Credit Risk
You will join a project delivery team tasked with supporting the Market Risk, Credit Risk, Regulatory Affairs and Aggregate Risk client divisions with achieving their ambitious change agenda. Our persistent internal project team comprises project professionals with varied experience who focus on multiple complex initiatives delivering significant change due to regulatory and / or internal drivers for change. The role offers a great career path for an organised mind with a deep interest and curiosity in Financial Market Regulation and Financial Risk management across the group.
With prior experience as a project Business Analyst, you will bring with you a proven ability to deliver system, process, procedure and policy changes in Financial Risk or related areas. You will leverage your great communication skills and interest in Financial Markets to deliver end to end change in one or more projects, ensuring requirements are met and benefits realised, driving key outcomes as agreed with your business stakeholders.
Your key responsibilities will include:
Leading and participating in gathering information, evidence, facilitating workshops as part of the project deliverable – including gap analysis of current vs future state
Co-ordinating and/or implementing changes made to systems, processes, policies and procedures end to end to solve the problem at hand
Acting as a primary point of contact for your project delivery, you will build enduring relationships with key business stakeholders, leveraging your understanding of the subject matter area to frame the problem in business terms
Leveraging your agile experience to get the job done in a pragmatic way
Contributing to project plans and providing updates including identifying, communicating, and managing risks to solution delivery
You will bring with you:
Prior experience as a Business Analyst
An interest and understanding of work required in the financial risk domain, if not direct experience
Exceptional written and verbal communication skills
Proven interpersonal skills to establish effective working relationships with key stakeholders and managing expectations
Relevant degree / qualifications
Experience in delivering projects through geographically dispersed teams and external resources is desirable
Prior experience in front or middle office roles, including product control, projects & change and/or trading functions is desirable
If this sounds like you please apply today or reach out to Maddy Wilson to learn more at maddy.wilson@macquarie.com
About the Risk Management Group
The Risk Management Group (RMG) is an independent, centralised unit responsible for ensuring all risk across Macquarie are appropriately assessed and managed. Its divisions include Behavioural Risk, Compliance, Credit, Financial Crime Risk, Internal Audit, Market Risk, Operational Risk, Regulatory Affairs and Aggregate Risk, and RMG Enterprise Support.
Our commitment to Diversity, Equity and Inclusion
The diversity of our people is one of our greatest strengths. An inclusive and equitable environment enables us to deliver innovative and sustainable outcomes for our people, clients, shareholders and communities. From day one, you'll be encouraged to be yourself and supported to perform at your best. If our purpose of ‘empowering people to innovate and invest for a better future’ is as inspiring to you as it is to us, please apply. With the right technology, support and resources, our people can work in a range of flexible ways.
We are committed to providing a working environment that embraces and values diversity, equity and inclusion. We encourage candidates to speak with a member of our recruitment team if you require adjustments to our recruitment process to support you, and the type of working arrangements that would help you thrive.


About Macquarie
A career at Macquarie means you’ll have the opportunity to develop and utilise new skills, explore interesting fields and do challenging work that will impact the lives of people around the world—whether it’s accelerating the green energy transition, helping sustain global food supplies, financing social housing projects or investing in essential infrastructure. At Macquarie, we’re empowering people to innovate and invest for a better future.
Our size and international presence means your work can take you anywhere—across business groups, disciplines, sectors and borders. With 17,000+ employees and offices in 33 markets around the world, we’re a truly global organisation.
You’ll be supported by a diverse team where the unique perspectives, ideas and experiences that all of our people bring are valued. You’ll be empowered to address unmet needs in our communities whilst advising and investing alongside our clients and partners. Working with us, you’ll have the opportunity to make a difference.
Macquarie is a global financial group providing clients with asset management, retail and business banking, wealth management, leasing and asset financing, market access, commodity trading, renewables development, specialist advisory, capital raising and principal investment.


Job no: RMG-962598
Work type: Permanent - Full time, Agency Worker
Location: Sydney
Category: Mid-senior, Mid-level, Projects, Improvements & Change, Risk Management
Group: Risk Management Group
Division: RAAR
Recruiter: Maddy Wilson
Opening Date: 16/2/2022"
