,0
0,"Join a successful, mature and growing business
Work as part of broader team to deliver client outcomes
Contract Position for 4 Months

About BSA

The BSA Group is a comprehensive technical services contracting company that has successful long-term relationships with our clients, founded upon a commitment to provide innovative, flexible solutions and a culture that promotes continuous improvement. We comprise of two divisions, BSA|APS (Advanced Property Solutions) and BSA|CUI (Communications & Utility Infrastructure).

BSA|APS designs, constructs and maintains the systems that make Australia’s buildings efficient, safe and comfortable. BSA|CUI is a national provider of strategic advice, design, implementation, operations and maintenance services, specializing in telecommunications networks and technologies.

We are a people business and an equal opportunity employer - we support and recognize the importance of a workplace culture that values diversity and inclusion. Proudly, our executive leadership team comprises of almost half female employees.

About the Role

We are looking for enthusiastic people to join our BSA|CUI finance team in the capacity of Claims Data Analyst, based in our Lidcombe office. Reporting to the Accounts Team Manager, the key purpose pf this role is to analyze billing, disputes, providing payment schedules and support with data extraction queries.

Key Responsibilities include:


Producing payment schedule reports for the leadership team
Analyze data and summaries findings in order to produce payment schedules reports including outstanding queries and disputed payments
Having strong technical and analytical skills, business intelligence, and a working knowledge of the billing and recovery management.
Perform revenue conciliation and calculate the applicable recovery
Being able to effectively communicate with internal and external stakeholders
Maintaining payment schedule register and liaise with relevant team member to finalize the account
Any other tasks as directed by the Management
Uphold BSA Values and Behaviors and take reasonable care to prevent injuries to self and others.
To be a part of the team, we require:

Tertiary qualifications in a relevant area with a minimum 3 years’ experience in working within billing, commercial and finance area.
Advanced Excel skills with high attention to detail and organizational skills
Intermediate proficiency in SQL
Strong analytical and reporting skills
Demonstrated ability to contribute to analytical solutions
Providing support to Management, Internal and External stakeholders
Excellent attendance/punctuality
Solution focused
Previous experience in telecommunication industry would be an advantage but not mandatory.
Why work with us:

A competitive salary package
Flexible work arrangements
Reward and Recognition program
Health & Wellbeing program
Learning and Development opportunities
Join us and be a part of a progressive culture that is enjoyable, flexible and results-driven.

If you believe you have the capabilities to succeed in this role, please do not hesitate to click “Apply for this job” and attach your cover letter and resume.

Please note, COVID-19 vaccination is a condition of employment for this position and the successful candidate will be subject to mandatory pre-employment checks including a Police Check. Should your application be unsuccessful, we will keep your details on file in case there are suitable vacancies in the future. If you do not wish for your details to be retained, please let us know by emailing Recruitment@BSA.com.au"
1,"The position
The Marketing Analyst role exists to provide the business with analytical insight into the supporter, their giving behaviour and other attitudinal data to drive continuous improvement within marketing campaigns and supplying clear, accurate and reliable data/insights.
Your role plays an integral part in the organisation, enabling us to support our mission of empowering Australians to create meaningful change for the world’s most vulnerable children and adults.
This is a contract role until February 2023.
You will:
Develop, maintain targeting strategies through data including the creation and delivery of targeting lists/files for campaigns using various channels (ie: DM, eDM, Flat File outputs) and to required timelines
Partake in targeting workshops and produce pre-campaign analysis to support strategic directions and make recommendations based on insights
Analyse in-flight campaign responses to enable quick optimisations (where needed) or test and learn strategies
Develop and utilise supporter segmentation within targeting strategies
Create and develop post campaign analytics decks to simplify the core learnings for continual improvement
Develop and maintain reporting dashboards to support campaign outcomes (maintain UTM tagging framework)
Develop and maintain reporting methodologies to effectively measure various marketing activities
Collaborate with other business functions to enhance understanding of data and its use, and ensuring a robust marketing/communications strategy
Who we’re looking for
We are looking for someone who has a curious mindset, can probe and ask questions, direct stakeholders and articulate insights back to the business.
You will have:
Proven experience in marketing (CRM) targeting campaign methodologies/strategies, customer/supporter segmentation.
Experience with stakeholder engagement and presenting your findings and recommendations
Exposure to test and learn (test/control groups) methodologies
Experience with Agile ways of working
Strong proven experience of using MS SQL to extract, analyse and create data for generating insights
Experience with data visualisation tools such as Power BI, Tableau, Qlik
Strong written communication skills demonstrated by the ability to produce sound written reports and technical documentation
Exposure to Marketing Automation Tech-Stack is advantageous
Tertiary qualifications in commerce, economics, marketing, business statistics, analytics or relevant discipline
Working for World Vision means you are making the world better
It’s not every day that a job comes along that lets you change the world. Working for World Vision means looking forward to turning up at work because you know you’re about to do something meaningful. It means working with 35,000 staff and 3.3 million supporters in 100 countries who will stop at nothing to help children live better lives. Join a team that is bold and courageous, and where job satisfaction goes beyond financial reward.
The selection process
For your information, the interviews will start immediately, and the role may be filled before the closing date.
We embrace diversity, employing people from a variety of cultural and religious backgrounds. We take our Safeguarding responsibilities seriously and we are committed to providing an environment that is safe for children. Our stringent recruitment procedures make sure the safest and most suitable people work with the children in our programs. All successful candidates will undergo a criminal record and Working with Children check prior to employment. We provide our staff and volunteers with ongoing supervision, support and training in their work with vulnerable children and their families. World Vision Australia participates in the Inter-Agency Scheme for the Disclosure of Safeguarding-related Misconduct in Recruitment Process within the Humanitarian and Development Sector.
Who we are
World Vision is a Christian organisation that empowers everyday Australians to create meaningful change for children through relief, development and advocacy work.
We offer great benefits such as salary packaging, flexible working arrangements, free on-site parking and an onsite café for our employees.
For more information on World Vision and the work we do, please visit our website: https://www.worldvision.com.au/about-us


Advertised: 30 Mar 2022 12:00 AM AUS Eastern Daylight Time"
2,"A career at Bupa is more than just a job. It’s an opportunity to make a real difference in the lives of our customers and communities. Our purpose, helping people live longer, healthier, happier lives and making a better world, is what inspires us.
You will provide an analytics and insights capability within the Healthcare Management (HCM) Data Science and Insights team, with responsibilities and accountabilities relating to the development and maintenance of Analytics and Data Science solutions that support the business units within Bupa’s HCM team and their respective strategies. You will have excellent ability to understand customer and business problems and use data to solve for complex problems across the healthcare provider space. This is a Permanent Full-Time opportunity and is based in Melbourne, Sydney, or Brisbane when you’re not working from home.
How will I help?
Providing statistical analysis encompassing Bupa Health Insurance, external, and other data to solve for complex problems across the healthcare space.
Working closely with business areas to execute on use cases that will deliver value to Bupa and our customers.
Work within the Data Science and Insights team to implement different approaches to problem solving including dashboard design, critical thinking, and statistical approaches.
Execute analytical approaches under guidance, such as scoping analysis, developing insights from health insurance claims data, and communicating outputs to stakeholders.
Support HCM in identifying trends and opportunities with a focus on generating meaningful, actionable insights for the business and utilising visualisation tools for automation and presentation of analysis.
Apply your broad skillset across data and analytics to develop and implement analytical models to support key business areas such as fraud, waste and abuse, behaviour change, contract management, data modelling, forecasting, and other complex healthcare problems.
Compile insights and recommendations into clear, concise deliverables for internal business partners, derive insights from data and communicate those insights to a non-technical audience through presentations and documentation.
What’s in it for me?

As well as a competitive salary, a range of Bupa benefits and flexible working/ work from home arrangements, you’ll be challenged and encouraged to innovate. You will partner with colleagues who are dedicated to delivering exceptional experiences. We respect and consider everyone, knowing your difference will make the difference.

Perk highlights:
Discount on our health insurance, travel, car, home, contents and pet insurance products as well as discounts when you attend a Bupa Dental clinic or purchase glasses from a Bupa Optical store.
A dedicated internal wellbeing team provides you with a range of services, such as a global resilience program, regular training opportunities on a range of wellbeing topics and access to a variety of wellbeing discounts.
An additional well-being day each year to treat yourself.

What do I need?
Degree in highly quantitative field (mathematics, statistics, computer science, machine learning) or equivalent experience.
Excellent communication skills - being able to both interpret and convey information in a clear, concise way with people from technical and non-technical background and use data to tell a story
Intermediate stakeholder engagement skill and demonstration of a curiosity to understand the business and develop innovate ideas to address problems and opportunities.
Experience leveraging statistical programming languages (SAS, R and/or Python for analyses (with in-depth knowledge of at least one, preferable with desired experience in SAS)
Proficiency and experience in statistical methods.
Knowledge of advanced statistical techniques and concepts (properties of distributions, statistical hypothesis testing, experimental design) and experience applying these.
Experience with data visualization tools (Tableau or Power BI)
About Bupa Asia Pacific
Bupa is an international healthcare group which has been committed to a purpose of helping people live longer, healthier, happier lives and making a better world for more than 70 years.
Bupa Asia Pacific operates in Australia, New Zealand and Hong Kong, supporting about 6.5 million customers through a broad range of health and care services including health insurance, aged care, dental, medical, optical and hearing services. Employing more than 20,000 people in the region, we believe that we can make a real difference to the lives of customers through our values, purpose and the way that we deliver personalised care.
Since 2002, we have reinvested approximately $6 billion in the region, with the Bupa Foundation investing more than $34 million to support 130+ health and care projects.
Our people reflect the diversity of our community. At Bupa, your wellbeing, identity and own story is respected and valued.
Time Type:
Full time"
3,"Want to do the best work of your life? Make your mark at Europe’s leading entertainment brand. Our people make Sky a truly exciting and inclusive place to work – a place where you can be yourself and let your skills shine.
Be at the forefront of Sky’s new data ethics practice. Fire-up and stoke the conversation about using data in an ethical manner and its importance for Sky brand, employees and customers. Create cultural change and transform how we implement our GDPR, privacy and customer preference responses whilst ensuring conformance with Sky’s data management standards and best practice culture

What you'll do:
Acting as a champion and change agent for data ethics, and DQGE more broadly
Enabling and empowering the business to adopt data ethics best practice in their work; this could include facilitating data ethics training, supporting data science teams with the adoption of relevant tools, and introducing ethical data behaviours to the rest of the business
Owning stakeholder management strategy and communicating effectively to raise awareness of data ethics, as well as creating a space for people to discuss ethical dilemmas, express concerns and ask questions
Supporting development of data ethics tools, policies, case studies and more

What you'll bring:
Strong stakeholder relationship management skills and experience – you strive on building new networks and acting as an ambassador for a cause
Demonstrated experience in digital transformation and change management with clearly defined outcomes is considered a benefit
Ability to bridge the gap between the technical and non-technical audience
Analytical mindset and ability to quickly grasp technical concepts (experience in data science or experience in working with technical teams is a bonus)
Demonstrated interest (and experience) in digital ethics and a genuine desire to help people navigate the grey areas of doing the right thing with data
Strong organizational skills and ability to meet strict deadlines

Group Data Hub
Want to unlock the power of data? Our Group Data Hub works with millions of data transformations every day to deliver value, improve customer experience and enable new product launches. From architecture to analytics and engineering to science: it’s how we bring customers more of what they love.

The Rewards:
There's a reason people can't stop talking about #LifeAtSky. Our great range of rewards really are something special, here are just a few:
Free access to NOW, for streaming all your favourite shows
A generous pension package
Private healthcare
Discounted mobile and broadband
Access a wide range of exclusive Sky VIP rewards and experiences

How you'll work:
We know the world has changed, and we want to offer our employees the chance to collaborate at our unique office spaces, whilst enjoying the convenience of working from home.
We've adopted a hybrid working approach to give more flexibility on where and how we work. You'll find out more about what this means for this role during the recruitment process.

Your office base:
Osterley:
Our Osterley Campus is a 10-minute walk from Syon Lane train station. Or you can hop on one of our free shuttle buses that run to and from Osterley, Gunnersbury, Ealing Broadway and South Ealing tube stations. There’s also plenty of bike shelters and showers.
On campus, you’ll find 13 subsidised restaurants, cafes, and a Waitrose. You can keep in shape at our subsidised gym, catch the latest shows and movies at our cinema, get your car washed and even get pampered at our beauty salon.
Livingston Watermark House:
Our lively campus is a free shuttle bus away from Livingston South train station and the town centre. Plus there’s onsite parking available for cars, motorbikes and bicycles.
You’ll be well fed at our subsidised canteen, and you can keep in shape at our onsite gym. Or play a game of pool or table tennis.
Inclusion:
Recognised as an ‘Inclusive Top 50 Employer’ and a ‘Times Top 50 Employer for Women’, we’re working hard to ensure we’re a truly inclusive place to work. This means we don’t just look at your CV. We’re more focused on who you are and the potential you’ll bring to Sky. We also know that everyone has a life outside work, so we’re happy to discuss flexible working!
And we’ll do everything we can to support you during your application. If you need us to make any adjustments to our recruitment process, speak to our recruitment team who will be happy to support you
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.
Why wait?

Apply now to build an amazing career and be part of a brilliant team. We can’t wait to hear from you.

To find out more about working with us, search #LifeAtSky on social media. A job you love to talk about.
Just so you know: if your application is successful, we’ll ask you to complete a criminal record check. And depending on the role you have applied for and the nature of any convictions you may have, we might have to withdraw the offer."
4,"What you'll do as a Risk Analyst at Akuna:
We are looking for a motivated self-starter to join our growing global Risk team in our Sydney office. This role will allow you to make a direct impact by taking ownership of Risk responsibilities in the Asia- Pacific region. You will work regularly with our Head of Risk, Quantitative Risk Analyst, Traders, Risk Development team and other global functions. In this role, you will:
Work on improvements to measuring and managing market, credit and operational risk and building a strong risk culture
Maintain and improve our checks and controls and overall risk processes
Work on market and credit risk limit methodologies, and enforce violations
Design daily risk reports for management
Manage activities across all lines of business across the region especially on Risk management
Initiate and develop new Risk frameworks and ensure they are in line with local regulatory standards
Define and propose Risk strategies, and ensure they are optimal with respect to regulatory requirements and firmwide risk appetite
Requirements for the role:
Bachelors or Masters degree with applied Mathematics
Econometrics, Statistics, Engineering, Physics, or related fields
Numerical and quantitative fluency
Ability to work independently and think through complex and detailed problems
Strong written and verbal communication skills
An interest in options, finance, and trading
A passion for working with technical teams and learning to code in Python
Qualities that make great candidates:
Strong academic results and achievements
Any experience with finance, options or automated trading environments
Basic Python programming skills
About Akuna:
Akuna Capital is an innovative trading firm with a strong focus on collaboration, cutting-edge technology, data driven solutions and automation. We specialise in providing liquidity as an options market maker – meaning we are committed to providing competitive quotes that we are willing to both buy and sell. To do this successfully we design and implement our own low latency technologies, trading strategies and mathematical models. At Akuna we have a flat structure, where the best idea wins.
Our Founding Partners, including our CEO Andrew Killion, first conceptualised Akuna in their hometown of Sydney. They opened our first office in 2011 in Chicago, the heart of the derivatives & options industry. Akuna then expanded to Sydney in 2018 to be the centre of our Asian trading operations, and in 2021 we moved to our Barangaroo waterfront office. We currently trade in HK, Korea, India, cryptocurrencies, and US night markets and are excited for expansions into all the major Asian exchanges. We also have offices in London, Shanghai and Boston.
At Akuna, we believe that the people are the centre of everything we do. Our Sydney office has a start-up feel with less than 200 people, which means you really get to know the team! We run social poker competitions, happy hours, have a fully stacked breakfast and snack room, host social events, go on company trips, social club events, and offer great training with our Akuna University. We are expanding rapidly and looking for the best talent to join us on this journey. If you enjoy being part of smart, driven teams with real challenges to solve- this could be the place for you!"
5,"Date: 29-Apr-2022

Location:
Sydney, NSW, AU Adelaide - Waymouth, SA, AU Melbourne, VIC, AU Perth, WA, AU

Department: Internal Client Services

Description:
Job Requisition ID: 27293


Work in a highly innovative and transformative business
Work/life balance with access to flexible work arrangements
Salary packaging – to suit your personal and financial circumstances
Do you thrive on developing creative and innovative insights to solve complex challenges? Want to work on next-generation, cutting-edge products and services that deliver outstanding value and that are global in vision and scope? Work with other experts in your field? Work for a world-class organization that provides an exceptional career experience with an inclusive and collaborative culture?

What will your typical day look like?
You will provide support for the Resource Management tool Dayshape and responsible for:

Implementing organizational delivery standards, monitoring work product quality, BA/QA resource task assignment
Determining level of effort estimations, monitoring task execution and meeting established project milestones.
Timeliness and accuracy of necessary escalations, producing and maintaining applicable project tasks and status reporting within a project team.
Documentation of formal requirements, user cases, user stories, test plans, test cases, test scripts and test suites which ensure that the software solutions developed and tested are fit for purpose, meet business needs and are operationally sustainable.
Deep troubleshooting and analytical skills
Ability to understand customer requirements and support project team in creating technical specification
Analyzes, designs, and recommends third-party tools and custom applications. Analyzes required functionality and implements customizations to platforms or develops custom solutions to fulfill business requirements.
Reviews other developers work to ensure solutions are aligned to architectural specifications and design. Investigates and corrects reported issues against existing software. Recommends performance improvements including tuning, or process changes.
Collaborates with team members to understand business requirements and create clear, technical specifications outlining the specific enhancement or functionality required. Supplies estimations, status updates, and escalations to ensure timely delivery of solutions.
Provides on-going support to business and content teams managing sites on strategic technology platform.
Provide technical oversight to project delivery team members.
Work with management and leadership to identify and prioritize business needs
Collaborates with application developers, designers, and architects to ensure a shared understanding of the detailed functional and technical requirements.
Participates in reviews of plans associated with project execution.
Responds proactively to both business and project issues and escalates appropriately.
Ensures communication of Change Management activities and confirms solution and schedule adaptability
Locate and define new process improvement opportunities
Prepares and maintains technical documentation.
Performs other job-related duties as assigned.

About the team

At Deloitte, we expect results. Incredible—tangible—results. And Deloitte Global professionals play a unique role in delivering those results. We reach across disciplines and borders to serve our global organization. We are the engine of Deloitte. We develop and implement global strategies and provide programs and services that unite our network.

In Deloitte Global, everyone has opportunities. We see the importance of your perspective and your ability to create value. We want you to fit in—with an inclusive culture, focus on work-life fit and well-being, and a supportive, connected environment; but we also want you to stand out—with opportunities to have a strategic impact, innovate, and take the risks necessary to make your mark.

Deloitte Technology works at the forefront of technology development and processes to support and protect Deloitte around the world. In this truly global environment, we operate not in ""what is"" but rather ""what can be"" to help Deloitte deliver and connect with its clients, its communities, and one another in ways not previously conceived.

Enough about us, let’s talk about you.

At Deloitte, we’re all about disruption. Technology has radically transformed the way we live and the way we go about business. Amongst the disruption that emerging technologies bring, we take the reins and transform our business with innovative technology and tools. Our large (and ever growing) team of specialists are exposed to new challenges and opportunities day-by-day and are supported by the business from day one.

You are someone with:
Bachelor’s degree or related experience (preferably in Computer Science/IT/Electronics)
3 + years of related Business or Reporting Analysis experience.
Experience working with Agile development processes
Deep analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Strong communication, technical, and remote collaboration skills are a must
Familiarity with SharePoint and automated QA tools is a plus
Leverage knowledge to understand the current business state of client and recognize gaps caused by change initiatives
Develop Strong Understanding of the Product
Capability to read and understand & analyze application architecture/design documents
Knowledge in VSTS (Azure DevOps) or any defect management tool is a plus

Why Deloitte?
At Deloitte, we create positively differentiated work experiences that enable our people to feel valued and achieve their full potential. Deloitte Australia opens the door to a career that can cross borders virtually and physically across Asia Pacific to gain experience and access projects beyond Australia’s borders. We value difference, and embrace people with diverse backgrounds, experiences, gender identities, abilities and thinking styles. Knowing that people work best in a variety of ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated.

We’re committed to continually building a safe and respectful workplace, where all our people feel appreciated and accepted. Through the creation of endorsed employee-led diversity networks which promote cultural, disability, LGBTI+, Aboriginal and Torres Strait Islander people and gender equality, we’re leading the way to shape an environment where everybody can thrive.

We are proud to have been recognised for our efforts in inspiring change and accelerating progress – check out our careers site for recent recognition in this space."
6,"Be part of the exciting EV Industry
Join an innovative, market leading organisation
Opportunities to diversify and expand your career

About the Role
Key responsibilities for this role include, but are not limited to:

Develop, own and maintain global Charger Uptime reporting.
Report on remediation steps being taken to restore chargers.
Provide data to support root cause analysis to charger down time drivers.
Reporting against Customer Service Level agreements.
Develop a deep understanding of the drivers of charger downtime and identify systemic drivers that prevent Tritium reaching charger Up Time goals.
Manage and build relationships with key decision makers and stakeholders at the customer throughout all levels & functions (Operations, Logistics, Customer Support etc)
Work collaboratively with customer service to resolve charger downtime problems on a case-by-case basses.
Work collaboratively with customer account management to resolve charger downtime problems on a case-by-case basses.
Use quarterly steering committee meetings and partnership meetings to perform periodic sentiment check meetings to gauge overall uptime performance.
About You

Proven work experience in data analytics, reporting, stakeholder management and process improvement.
Demonstrable ability to communicate, present and influence key internal and external stakeholders at all levels of an organisation, including executive and mid level.
Solid experience with CRM software (e.g. Salesforce, Zoho CRM or HubSpot) and MS Office (particularly MS Excel and PowerPoint).
Proven ability to juggle multiple customer service projects at a time, while maintaining sharp attention to detail.
Able to deliver high quality results whilst under pressure.
Excellent listening, negotiation and presentation abilities.
Strong verbal and written communication skills.
BA/BS degree in Business Administration, Sales, Engineering, Finance or other relevant field.
Benefit
This is an incredible opportunity to join a thriving business that is just getting started. It is a fast-paced environment, and Tritium is kicking some major goals within the industry and their sector. Offering competitive salaries, on-site parking and plenty of growth opportunities, joining is a no brainer.

Tritium is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees"
7,"HorizonOne Recruitment is a leading specialist recruitment firm whose approach to recruitment is different. We focus on quality and service and have an in-depth understanding of our subject matter.
We don’t rely on the standard reactivate, tick n flick approach to recruitment. With our top candidates, we reverse traditional recruiting models so you are the focus of our recruiting efforts – we tailor our service to ensure we find you the best possible fit.
Take this opportunity to have someone like Lucas Walker in your corner, helping coach you through career pathway plans and understanding exactly what need – then helping you navigate the minefield of positions available to sift through the rhetoric and find the job with the right fit.
The Opportunity
Are you:
Considering what the next step is in your career?
Looking for your next interesting contract?
Thinking about what the next 5 years looks like? And how does your next role fit into your life plan?
Considering how to get to long term goals?
With the end of financial year approaching, now is the perfect time for you to evaluate and explore what’s available in the market.
Lucas Walker has a strong reputation in the market for his human centred approach to success: placing people into roles, not just matching CV’s to job descriptions. HorizonOne continues to work on understanding people, then finding roles for high performing candidates like yourself.
You will have access to a wide variety of opportunities for contracts, permanent, non-ongoing and section 26 transfers to our government, consulting and private sector clients. This also includes exclusive roles that are not available anywhere else in the market.
The Role
Just some examples of roles we have available are:
Data Analyst
Long term secure contract to June 2024
Work from home when you are up to speed
Small, high performing & fun-loving team.
Interesting and highly topical subject matter
See the positive impact of your data analysis on Australia/’s commitment to net zero emissions
Power BI Developer
Broad, immersive role working in both data and policy teams.
All levels and skillsets required.
Options to work with both cloud and on prem data.
Data scientist
Multiple positions available in the same team
Collaborative solutions to high profile real-world challenges
Build foundational analytic tools & apply the latest data analytics techniques (AI & ML)
Apply both supervised and unsupervised machine learning models
Assistant Director (Data Visualisation)
Section 26 or non-ongoing 12 months
Develop strategic insights from the data.
Work directly with SES as you identify common drivers of success or failure through analysis, collation and visualisation.
Data Analyst
Solve real world problems in this operational policy team.
Work on interesting projects rather than just BAU reporting.
See tangible impacts
12 + 6 month contract
Your Background and Experience
You are wanting to work with a recruiter who understands the evolving data discipline, who can help you advance your career.
You will have a combination of the following skills:
You can wrangle, model and analyse in one or more programming languages (preferably R, Python, SAS, SQL, Excel, SPSS, STATA)
You are experienced working with big data sets from a range of structured and unstructured sources to draw insights and visualisations
You can easily create dashboards using one or more visualisation tools (PowerBI, Tableau, Qlik, R Shiny, etc.)
You are familiar with supervised learning or unsupervised learning, NLP or a variety of data science and machine learning models.
Our clients have roles for all types of personalities from those who are happy to sit quietly in the corner (or now at home!) crunch, analyse or code through to outgoing engaging analysts who enjoy presenting or translating technical data to a non-technical audience and anyone in between.
The main requirement is a passion for data to support businesses make evidence-based decisions.
If you are interested in having a chat about the next step in your data career please submit your CV, connect with me on LinkedIn or call the number below.
Australian Citizenship is mandatory.
Salary / Rate
I will work with you to understand and advise you on where the market rate is for your skills and experience for both contracts and full time salaried positions.
How to Apply


Alternatively if you are interested in having a chat about the next step in your data career please submit your CV, connect with me on LinkedIn or call the number below.
Lucas Walker // 02 6108 4878 // quoting ref no. 11189
HorizonOne is committed to building a diverse and inclusive workforce and we encourage applications from people of all cultures, capabilities and backgrounds."
8,"Contract opportunity at one of Australia’s leading energy pioneers
Exciting 12 month contract with opportunity to develop your career
Adelaide CBD location

About the company
Santos is one of the leading independent oil and gas producers in the Asia-Pacific region, supplying the energy needs of homes, businesses and major industries throughout Australia and Asia.
Chandler Macleod, in collaboration with Santos, is currently seeking office and field-based professionals for contract opportunities across Australia.

About the role
Embedded in the Materials Management team and reporting to the Materials Manager, your role will be to apply analytical thinking and provide insights relating to supply chain data from SAP S4/HANA. This will involve performing detailed requirements analysis and recommending process and system improvements in the fields of procurement, inventory management, electronic warehouse management and transportation.
In return, this position offers you the opportunity to develop operational skills within a word-class supply chain environment, under the guidance of an experienced team who are eager for your success.
Specifically, this role will involve:
Reviewing supply chain ERP system performance and identify opportunities for improvement
Creating and validating process maps
Researching and identifying appropriate SAP solutions to business requirements, as well as collaborating with other Functional Analysts within Santos, to ensure these solutions meet broader business objectives and efficiencies
Preparing for and leading customer facing workshops
Documenting configuration, functional specifications and test cases
Preparing scopes of work and manage outsourcing activities
Providing guidance to Santos’ IS support partner with regard to business requirements
Executing of test cases
Ensuring that integration with other modules is effectively tested during integration testing prior to workbench/customized transport movement to Production client.
Providing input to the Santos ERP system leadership team

To be successful in this role, you will demonstrate
Degree Qualifications in Supply Chain Management, Computer Science or Information Systems (preferred)
ERP systems experience. Ideally, this would include exposure to SAP P2P, WM and MM
A solutions oriented approach to designing, implementing and embedding business improvements
Advanced analytical and reporting skills, particularly within MS Excel
Solid communication and consultation skills, allowing you you understand and guide discussions relating to as-is and to-be processes

How to apply
If this sounds like you, and you have the required experience, skills, and qualifications for this contract opportunity, please ‘Apply’ today. Your Chandler Macleod Consultant will be in contact to discuss your application further.
We look forward to hearing from you.
Applications close: Sunday 16Jan2022 at 11:59 pm AEDST.
Please note: To be considered for this position you must have current work rights in Australia (i.e. Australian citizenship, permanent residency or eligible working visa and be currently available for work in South Australia with no restriction).
Chandler Macleod complies with all relevant State, Territory and International Covid-19 laws and health orders, including but not limited to vaccinations, safe travel, and declarations of health. We acknowledge that these laws and health orders will vary and may change over time. We encourage all applicants to check and consider the impact of the relevant laws and health orders on your availability for employment with Chandler Macleod in this role and work location."
9,"Administration & Data Assistant
* Perth, CBD, Inner & Western Suburbs / Manufacturing, Transport & Logistics *
About the Role:
ASAP Start
5 days per week / Monday to Friday
Approximately 30 hours per week
Providing general administrative support across various departments
Review tracking system & identify trends with service failures
About you:
Intermediate Level Technology skills with Advanced Skills in Excel
Great time management skills
Previous warehouse/freight industry knowledge (desirable)
Working in a team environment as well as being able to work on your own if needed
At least 6-12 months of Data Entry/Administration skills with professional reference checks
What we offer:
Ongoing long-term work with the opportunity to go Permanent
Access to Upskilling and further online training
Job Type: Casual
Salary: $30.00 per hour
Benefits:
Professional development assistance
Schedule:
Day shift
Supplementary Pay:
Penalty rates
COVID-19 considerations:
All successful applicants must be triple vaccinated with evidence
Experience:
Administration: 1 year (Required)
Data analytics: 1 year (Preferred)
Work Authorisation:
Australia (Required)
Shift availability:
Day Shift (Required)"
